RawText,WikidataID,Class,PredictedClass,ConfidenceScore
Sturmabteilung,Q150793,INSTITUTION,,0.0
SA,Q150793,INSTITUTION,,0.0
Schutzstaffel,Q44687,INSTITUTION,,0.0
SS,Q44687,INSTITUTION,,0.0
mid,Q1650645,PERIOD,,0.0
1934,Q18714,PERIOD,,0.0
SS,Q44687,INSTITUTION,,0.0
Germans,Q42884,PERSON_TYPE,,0.0
Volksgemeinschaft,Q457031,CONCEPT,,0.0
National,Q204716,PERSON_TYPE,,0.0
Comrades,Q5157667,PERSON_TYPE,,0.0
1930s,Q35702,PERIOD,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Israeli,Q875556,NATIONAL,,0.0
Saul,Q28730,PERSON,,0.0
Nazis,Q7310,PERSON_TYPE,,0.0
Germany,Q183,LOCATION,,0.0
German,Q183,NATIONAL,,0.0
April,Q118,PERIOD,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
antisemitic,Q22649,CONCEPTUAL,,0.0
week,Q23387,PERIOD,,0.0
day,Q573,PERIOD,,0.0
1933,Q18726,PERIOD,,0.0
Law,Q7748,LEGAL,,0.0
Restoration,Q846848,LEGAL,,0.0
Professional,Q702269,LEGAL,,0.0
Civil,Q77590,LEGAL,,0.0
Civil Service,Q2974879,LEGAL,,0.0
Service,Q7455660,LEGAL,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Aryans,Q718909,PERSON_TYPE,,0.0
Aryan,Q179733,PERSON_TYPE,,0.0
Aryan,Q179733,PERSON_TYPE,,0.0
antisemitic,Q22649,CONCEPTUAL,,0.0
Third Reich,Q7318,INSTITUTION,,0.0
Reich,Q7318,INSTITUTION,,0.0
Physicians,Q39631,LEGAL,,0.0
Law,Q7748,LEGAL,,0.0
Farm,Q131596,LEGAL,,0.0
Law,Q7748,LEGAL,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
Dresden,Q1731,LOCATION,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
President,Q30461,PERSON,,0.0
President Paul von Hindenburg,Q2667,PERSON,,0.0
Paul,Q9200,PERSON,,0.0
Paul von Hindenburg,Q2667,PERSON,,0.0
von,Q300942,PERSON,,0.0
von Hindenburg,Q2667,PERSON,,0.0
Hindenburg,Q217964,PERSON,,0.0
Hitler,Q352,PERSON,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
First World War,Q361,EVENT,,0.0
World,Q16502,EVENT,,0.0
World War,Q361,EVENT,,0.0
War,Q2295871,EVENT,,0.0
1937,Q18647,PERIOD,,0.0
Hindenburg,Q217964,PERSON,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Law,Q7748,LEGAL,,0.0
Prevent,Q5013414,LEGAL,,0.0
Overcrowding,Q7113614,LEGAL,,0.0
Schools,Q3914,LEGAL,,0.0
Journalists,Q11030,ORGANISATION,,0.0
Journalists' Association,Q6083371,ORGANISATION,,0.0
Association,Q48204,ORGANISATION,,0.0
July,Q121,PERIOD,,0.0
July 1933,Q6310462,PERIOD,,0.0
Law,Q7748,LEGAL,,0.0
Prevention,Q1773974,LEGAL,,0.0
Hereditarily,Q3439792,LEGAL,,0.0
Diseased,Q12136,LEGAL,,0.0
Offspring,Q7079708,LEGAL,,0.0
Hereditary,Q178694,INSTITUTION,,0.0
Health,Q12147,INSTITUTION,,0.0
Health Courts,Q5690916,INSTITUTION,,0.0
Courts,Q41487,INSTITUTION,,0.0
Nazi,Q7310,EVENT,,0.0
Nazi period,Q7318,EVENT,,0.0
period,Q392928,EVENT,,0.0
Nuremberg,Q2090,LEGAL,,0.0
Nuremberg Laws,Q27906,LEGAL,,0.0
Laws,Q7748,LEGAL,,0.0
1935,Q18658,LEGAL,,0.0
1935,Q18658,PERIOD,,0.0
Hitler,Q352,PERSON,,0.0
Nuremberg,Q2090,LEGAL,,0.0
Nuremberg Laws,Q27906,LEGAL,,0.0
Laws,Q7748,LEGAL,,0.0
Aryans,Q718909,PERSON_TYPE,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Gypsies,Q8060,PERSON_TYPE,,0.0
Negroes,Q1130557,PERSON_TYPE,,0.0
Law,Q7748,LEGAL,,0.0
Protection,Q632803,LEGAL,,0.0
German,Q183,LEGAL,,0.0
German Blood,Q1201966,LEGAL,,0.0
Blood,Q7873,LEGAL,,0.0
German,Q183,LEGAL,,0.0
Honor,Q207333,LEGAL,,0.0
German,Q183,PERSON_TYPE,,0.0
German Jews,Q7330,PERSON_TYPE,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Nazis,Q7310,PERSON_TYPE,,0.0
Rassenschande,Q565284,CONCEPT,,0.0
Hitler,Q352,PERSON,,0.0
Blood,Q7873,LEGAL,,0.0
Blood Law,Q4927630,LEGAL,,0.0
Law,Q7748,LEGAL,,0.0
final solution,Q127013,UNKNOWN,,0.0
solution,Q5447188,UNKNOWN,,0.0
National,Q204716,UNKNOWN,,0.0
National Socialist,Q7320,UNKNOWN,,0.0
National Socialist Party,Q7320,UNKNOWN,,0.0
Socialist,Q7272,UNKNOWN,,0.0
Socialist Party,Q170972,UNKNOWN,,0.0
Party,Q79854,UNKNOWN,,0.0
Hitler,Q352,PERSON,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
National,Q204716,ORGANISATION,,0.0
National-Socialist,Q7310,ORGANISATION,,0.0
National-Socialist Party,Q7320,ORGANISATION,,0.0
Socialist,Q1353232,ORGANISATION,,0.0
Socialist Party,Q1353232,ORGANISATION,,0.0
Party,Q79854,ORGANISATION,,0.0
final solution,Q127013,UNKNOWN,,0.0
solution,Q5447188,UNKNOWN,,0.0
final solution,Q127013,UNKNOWN,,0.0
solution,Q5447188,UNKNOWN,,0.0
Nazi,Q7310,PERSON_TYPE,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
January,Q108,PERIOD,,0.0
January 1939,Q12364950,PERIOD,,0.0
Jewry,Q9016264,PERSON_TYPE,,0.0
Europe,Q46,LOCATION,,0.0
earth,Q2,CONCEPT,,0.0
Jewry,Q9016264,PERSON_TYPE,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
Europe,Q46,LOCATION,,0.0
1940,Q18633,PERIOD,,0.0
Nazi,Q7310,PERSON_TYPE,,0.0
Eternal,Q540500,CREATION,,0.0
Jew,Q7325,CREATION,,0.0
Der,Q406979,CREATION,,0.0
Der ewige Jude,Q165642,CREATION,,0.0
Jude,Q131466,CREATION,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Europe,Q46,LOCATION,,0.0
Intellectuals,Q58968,PERSON_TYPE,,0.0
Walter,Q2720022,PERSON,,0.0
Walter Benjamin,Q61078,PERSON,,0.0
Benjamin,Q460763,PERSON,,0.0
Paris,Q90,LOCATION,,0.0
March,Q173177,PERIOD,,0.0
Lion,Q140,PERSON,,0.0
Lion Feuchtwanger,Q77024,PERSON,,0.0
Feuchtwanger,Q77024,PERSON,,0.0
Switzerland,Q39,LOCATION,,0.0
Bruno,Q56228,PERSON,,0.0
Bruno Walter,Q156910,PERSON,,0.0
Walter,Q2720022,PERSON,,0.0
Berlin,Q64,INSTALLATION,,0.0
Berlin Philharmonic,Q152222,INSTALLATION,,0.0
Philharmonic,Q471154,INSTALLATION,,0.0
Frankfurter,Q131419,MEDIA,,0.0
Frankfurter Zeitung,Q561972,MEDIA,,0.0
6 April,Q2506,PERIOD,,0.0
April,Q118,PERIOD,,0.0
Walter,Q2720022,PERSON,,0.0
Otto,Q77067,PERSON,,0.0
Otto Klemperer,Q155136,PERSON,,0.0
Klemperer,Q155136,PERSON,,0.0
German,Q183,PERSON_TYPE,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
Albert,Q349030,PERSON,,0.0
Albert Einstein,Q937,PERSON,,0.0
Einstein,Q937,PERSON,,0.0
US,Q30,LOCATION,,0.0
30 January 1933,Q4684105,PERIOD,,0.0
January,Q108,PERIOD,,0.0
Ostende,Q12996,LOCATION,,0.0
Belgium,Q31,LOCATION,,0.0
Germany,Q183,LOCATION,,0.0
Kaiser,Q138340,ORGANISATION,,0.0
Kaiser Wilhelm,Q6348471,ORGANISATION,,0.0
Kaiser Wilhelm Society,Q708038,ORGANISATION,,0.0
Wilhelm,Q57621,ORGANISATION,,0.0
Society,Q8425,ORGANISATION,,0.0
Prussian,Q27306,ORGANISATION,,0.0
Prussian Academy,Q514802,ORGANISATION,,0.0
Prussian Academy of Sciences,Q329464,ORGANISATION,,0.0
Academy,Q162633,ORGANISATION,,0.0
Academy of Sciences,Q188771,ORGANISATION,,0.0
Sciences,Q336,ORGANISATION,,0.0
Germany,Q183,LOCATION,,0.0
Austria,Q40,LOCATION,,0.0
1938,Q18645,PERIOD,,0.0
Sigmund,Q9215,PERSON,,0.0
Sigmund Freud,Q9215,PERSON,,0.0
Freud,Q9215,PERSON,,0.0
Vienna,Q1741,LOCATION,,0.0
England,Q21,LOCATION,,0.0
Saul,Q28730,PERSON,,0.0
Max,Q6794615,PERSON,,0.0
Max Liebermann,Q158062,PERSON,,0.0
Liebermann,Q158062,PERSON,,0.0
honorary,Q3320743,PERSON,,0.0
honorary president,Q3320743,PERSON,,0.0
president,Q30461,PERSON,,0.0
Prussian,Q161036,PERSON,,0.0
Prussian Academy,Q514802,PERSON,,0.0
Prussian Academy of Arts,Q514802,PERSON,,0.0
Academy,Q162633,PERSON,,0.0
Academy of Arts,Q414110,PERSON,,0.0
Arts,Q2018526,PERSON,,0.0
years,Q577,PERIOD,,0.0
1943,Q18623,PERIOD,,0.0
Kristallnacht,Q36756,EVENT,,0.0
1938,Q18645,EVENT,,0.0
Kristallnacht,Q36756,EVENT,,0.0
Siegen,Q3167,LOCATION,,0.0
November,Q125,PERIOD,,0.0
November,Q125,PERIOD,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
Herschel,Q209630,PERSON,,0.0
Nazi,Q7318,PERSON_TYPE,,0.0
Nazi German,Q7318,PERSON_TYPE,,0.0
German,Q183,PERSON_TYPE,,0.0
Ernst,Q528748,PERSON,,0.0
Ernst vom Rath,Q76883,PERSON,,0.0
vom,Q127076,PERSON,,0.0
vom Rath,Q76883,PERSON,,0.0
Rath,Q92383,PERSON,,0.0
Paris,Q90,LOCATION,,0.0
Nazis,Q7310,PERSON_TYPE,,0.0
Jewish,Q678551,PERSON_TYPE,,0.0
Jewish Germans,Q7330,PERSON_TYPE,,0.0
Germans,Q42884,PERSON_TYPE,,0.0
Nazis,Q7310,PERSON_TYPE,,0.0
Nazi,Q7310,INSTITUTION,,0.0
Nazi Party,Q7320,INSTITUTION,,0.0
Party,Q79854,INSTITUTION,,0.0
SA,Q150793,INSTITUTION,,0.0
Nazi,Q7318,LOCATION,,0.0
Nazi Germany,Q7318,LOCATION,,0.0
Germany,Q183,LOCATION,,0.0
Germany,Q183,LOCATION,,0.0
Austria,Q40,LOCATION,,0.0
Sudetenland,Q194242,LOCATION,,0.0
Kristallnacht,Q36756,EVENT,,0.0
Crystal,Q2418760,EVENT,,0.0
Crystal Night,Q36756,EVENT,,0.0
Night,Q592503,EVENT,,0.0
Night,Q592503,EVENT,,0.0
Night of Broken Glass,Q36756,EVENT,,0.0
Broken,Q849983,EVENT,,0.0
Broken Glass,Q4973377,EVENT,,0.0
Glass,Q11469,EVENT,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
two-thirds,Q1362323,MEASURE,,0.0
thirds,Q12375546,MEASURE,,0.0
German,Q183,NATIONAL,,0.0
Dachau,Q151198,LOCATION,,0.0
Sachsenhausen,Q154498,LOCATION,,0.0
Buchenwald,Q152802,LOCATION,,0.0
Oranienburg,Q14808,LOCATION,,0.0
weeks,Q23387,PERIOD,,0.0
Nazis,Q7310,PERSON_TYPE,,0.0
German,Q183,PERSON_TYPE,,0.0
German Jewry,Q7330,PERSON_TYPE,,0.0
Jewry,Q9016264,PERSON_TYPE,,0.0
thousand,Q43016,MEASURE,,0.0
billion,Q16021,MEASURE,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
Germany,Q183,LOCATION,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
Germany,Q183,LOCATION,,0.0
Romani,Q8060,PERSON_TYPE,,0.0
Slavs,Q40477,PERSON_TYPE,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
MS,Q950900,ARTIFACT,,0.0
MS St. Louis,Q682495,ARTIFACT,,0.0
St,Q43115,ARTIFACT,,0.0
St. Louis,Q38022,ARTIFACT,,0.0
Cuba,Q241,LOCATION,,0.0
United,Q174769,LOCATION,,0.0
United States,Q30,LOCATION,,0.0
United States and Canada,Q1054125,LOCATION,,0.0
States,Q30,LOCATION,,0.0
Canada,Q16,LOCATION,,0.0
Europe,Q46,LOCATION,,0.0
Nazis,Q7310,PERSON_TYPE,,0.0
German,Q183,PERSON_TYPE,,0.0
European,Q1464982,PERSON_TYPE,,0.0
Jewry,Q9016264,PERSON_TYPE,,0.0
Europe,Q46,LOCATION,,0.0
Hitler,Q352,PERSON,,0.0
1938,Q18645,UNKNOWN,,0.0
Schacht,Q2229610,UNKNOWN,,0.0
Plan,Q1350284,UNKNOWN,,0.0
thousands,Q43016,MEASURE,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Schacht,Q2229610,UNKNOWN,,0.0
Plan,Q1350284,UNKNOWN,,0.0
Nazi,Q7310,PERSON_TYPE,,0.0
Europe,Q46,PERSON_TYPE,,0.0
Europe's Jews,Q2918095,PERSON_TYPE,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Siberia,Q5428,LOCATION,,0.0
Palestine,Q23792,LOCATION,,0.0
Nazi,Q7310,PERSON_TYPE,,0.0
1933,Q18726,PERIOD,,0.0
Zionist,Q42388,ORGANISATION,,0.0
Zionist Federation,Q2047532,ORGANISATION,,0.0
Zionist Federation of Germany,Q205369,ORGANISATION,,0.0
Federation,Q1110,ORGANISATION,,0.0
Germany,Q183,ORGANISATION,,0.0
die,Q2609080,ORGANISATION,,0.0
Vereinigung,Q829070,ORGANISATION,,0.0
Deutschland,Q323005,ORGANISATION,,0.0
Nazi,Q7310,INSTITUTION,,0.0
Nazi government,Q7318,INSTITUTION,,0.0
government,Q7188,INSTITUTION,,0.0
Haavara,Q661547,LEGAL,,0.0
Haavara Agreement,Q661547,LEGAL,,0.0
Agreement,Q829903,LEGAL,,0.0
German,Q183,PERSON_TYPE,,0.0
German Jews,Q7330,PERSON_TYPE,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
million,Q38526,MEASURE,,0.0
Germany,Q183,LOCATION,,0.0
Palestine,Q23792,LOCATION,,0.0
World,Q16502,EVENT,,0.0
World War,Q362,EVENT,,0.0
World War II,Q362,EVENT,,0.0
War,Q362,EVENT,,0.0
II,Q362,EVENT,,0.0
Hitler,Q352,PERSON,,0.0
German,Q183,NATIONAL,,0.0
Tanganyika,Q158725,LOCATION,,0.0
South,Q771405,LOCATION,,0.0
South West,Q60385,LOCATION,,0.0
South West Africa,Q953068,LOCATION,,0.0
West,Q4412,LOCATION,,0.0
West Africa,Q4412,LOCATION,,0.0
Africa,Q15,LOCATION,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
Germans,Q42884,PERSON_TYPE,,0.0
Germans,Q42884,PERSON_TYPE,,0.0
United,Q174769,LOCATION,,0.0
United Kingdom,Q145,LOCATION,,0.0
Kingdom,Q2667814,LOCATION,,0.0
France,Q142,LOCATION,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
British,Q145,LOCATION,,0.0
British Palestine,Q193714,LOCATION,,0.0
Palestine,Q193714,LOCATION,,0.0
Italian,Q38,LOCATION,,0.0
Abyssinia,Q207521,LOCATION,,0.0
British,Q842438,LOCATION,,0.0
British Rhodesia,Q750583,LOCATION,,0.0
Rhodesia,Q217169,LOCATION,,0.0
French,Q121842,LOCATION,,0.0
French Madagascar,Q5501842,LOCATION,,0.0
Madagascar,Q1019,LOCATION,,0.0
Australia,Q408,LOCATION,,0.0
Madagascar,Q1019,LOCATION,,0.0
Heydrich,Q60039,PERSON,,0.0
Madagascar,Q1019,UNKNOWN,,0.0
Madagascar Plan,Q312490,UNKNOWN,,0.0
Plan,Q1350284,UNKNOWN,,0.0
final solution,Q127013,UNKNOWN,,0.0
solution,Q5447188,UNKNOWN,,0.0
Hitler,Q352,PERSON,,0.0
1938,Q18645,PERIOD,,0.0
Adolf,Q360684,PERSON,,0.0
Adolf Eichmann,Q28085,PERSON,,0.0
Eichmann,Q28085,PERSON,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
1941,Q5231,PERIOD,,0.0
Madagascar,Q1019,UNKNOWN,,0.0
Madagascar Plan,Q312490,UNKNOWN,,0.0
Plan,Q1350284,UNKNOWN,,0.0
February,Q109,PERIOD,,0.0
German,Q183,INSTITUTION,,0.0
German Foreign Office,Q56034,INSTITUTION,,0.0
Foreign,Q56034,INSTITUTION,,0.0
Foreign Office,Q56034,INSTITUTION,,0.0
Office,Q182060,INSTITUTION,,0.0
Soviet,Q15180,LOCATION,,0.0
Soviet Union,Q15180,LOCATION,,0.0
Union,Q214102,LOCATION,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Nazi,Q7310,PERSON_TYPE,,0.0
Germans,Q42884,PERSON_TYPE,,0.0
Lebensraum,Q157136,CONCEPT,,0.0
Nazi,Q7310,CONCEPTUAL,,0.0
Nazis,Q7310,PERSON_TYPE,,0.0
Poland,Q36,LOCATION,,0.0
Russia,Q159,LOCATION,,0.0
Operation,Q3033529,EVENT,,0.0
Operation Barbarossa,Q83055,EVENT,,0.0
Barbarossa,Q83055,EVENT,,0.0
Russian,Q7737,PERSON_TYPE,,0.0
Slavic,Q40477,PERSON_TYPE,,0.0
Hitler,Q352,PERSON,,0.0
Jewish,Q9268,CONCEPT,,0.0
Jewish Bolshevism,Q701198,CONCEPT,,0.0
Bolshevism,Q83372,CONCEPT,,0.0
German,Q183,LOCATION,,0.0
German-occupied,Q700120,LOCATION,,0.0
German-occupied Poland,Q700120,LOCATION,,0.0
occupied,Q188686,LOCATION,,0.0
occupied Poland,Q700120,LOCATION,,0.0
Poland,Q36,LOCATION,,0.0
Holocaust,Q2763,EVENT,,0.0
Holocaust in Poland,Q2587808,EVENT,,0.0
Poland,Q36,EVENT,,0.0
Invasion,Q543084,EVENT,,0.0
Invasion of Poland,Q150812,EVENT,,0.0
Poland,Q36,EVENT,,0.0
Occupation,Q2748708,EVENT,,0.0
Occupation of Poland,Q700120,EVENT,,0.0
Poland,Q36,EVENT,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Poland,Q36,LOCATION,,0.0
Nazi,Q7318,LOCATION,,0.0
Nazi Germany,Q7318,LOCATION,,0.0
Germany,Q183,LOCATION,,0.0
1941,Q5231,PERIOD,,0.0
Poland,Q36,LOCATION,,0.0
General,Q5531654,LOCATION,,0.0
General Government,Q156111,LOCATION,,0.0
Government,Q6063,LOCATION,,0.0
area,Q11500,LOCATION,,0.0
Germany,Q183,EVENT,,0.0
Germany's invasion,Q83055,EVENT,,0.0
Germany's invasion of Poland,Q150812,EVENT,,0.0
invasion,Q697842,EVENT,,0.0
invasion of Poland,Q150812,EVENT,,0.0
Poland,Q36,EVENT,,0.0
September,Q123,EVENT,,0.0
September 1939,Q150812,EVENT,,0.0
Jewish,Q9268,CONCEPT,,0.0
Jewish Question,Q708764,CONCEPT,,0.0
Question,Q2092954,CONCEPT,,0.0
Poland,Q36,LOCATION,,0.0
million,Q38526,MEASURE,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
percent,Q11229,MEASURE,,0.0
Polish,Q36,PERSON_TYPE,,0.0
two-thirds,Q1362323,MEASURE,,0.0
thirds,Q12375546,MEASURE,,0.0
Nazi,Q7310,PERSON_TYPE,,0.0
Poland,Q36,LOCATION,,0.0
September,Q123,PERIOD,,0.0
September 1939,Q3478964,PERIOD,,0.0
Himmler,Q43067,PERSON,,0.0
Reinhard,Q158044,PERSON,,0.0
Reinhard Heydrich,Q60039,PERSON,,0.0
Heydrich,Q60039,PERSON,,0.0
chief,Q1259323,TITLE,,0.0
Reich,Q960541,TITLE,,0.0
Reich Main Security Office,Q152698,TITLE,,0.0
Main,Q1670,TITLE,,0.0
Main Security Office,Q152698,TITLE,,0.0
Security,Q2526135,TITLE,,0.0
Office,Q182060,TITLE,,0.0
Reichssicherheitshauptamt,Q152698,TITLE,,0.0
RSHA,Q152698,TITLE,,0.0
Security,Q2526135,INSTITUTION,,0.0
Security Service,Q210175,INSTITUTION,,0.0
Service,Q7455660,INSTITUTION,,0.0
SD,Q153559,INSTITUTION,,0.0
Gestapo,Q43250,INSTITUTION,,0.0
SS,Q44687,INSTITUTION,,0.0
occupied,Q188686,LOCATION,,0.0
occupied Poland,Q700120,LOCATION,,0.0
Poland,Q36,LOCATION,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Heydrich,Q60039,PERSON,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
German,Q183,NATIONAL,,0.0
Operation,Q3033529,EVENT,,0.0
Operation Tannenberg,Q702638,EVENT,,0.0
Tannenberg,Q57846,EVENT,,0.0
Selbstschutz,Q1416195,ORGANISATION,,0.0
Heydrich,Q60039,PERSON,,0.0
Reichsprotektor,Q7251389,TITLE,,0.0
Reichsprotektor of Bohemia and Moravia,Q7251389,TITLE,,0.0
Bohemia,Q39193,TITLE,,0.0
Bohemia and Moravia,Q152750,TITLE,,0.0
Moravia,Q43266,TITLE,,0.0
Polish,Q809,PERSON_TYPE,,0.0
Polish Jews,Q1516823,PERSON_TYPE,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
German,Q183,NATIONAL,,0.0
Heydrich,Q60039,PERSON,,0.0
1961,Q3696,PERIOD,,0.0
Adolf,Q360684,PERSON,,0.0
Adolf Eichmann,Q28085,PERSON,,0.0
Eichmann,Q28085,PERSON,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Hans,Q57820,PERSON,,0.0
Hans Frank,Q60087,PERSON,,0.0
Frank,Q43482,PERSON,,0.0
Nazi,Q7310,PERSON,,0.0
governor,Q132050,PERSON,,0.0
occupied,Q188686,LOCATION,,0.0
occupied Poland,Q700120,LOCATION,,0.0
Poland,Q36,LOCATION,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
General,Q5531654,LOCATION,,0.0
General Government,Q156111,LOCATION,,0.0
Government,Q6063,LOCATION,,0.0
area,Q11500,LOCATION,,0.0
central,Q318541,LOCATION,,0.0
central Poland,Q156111,LOCATION,,0.0
Poland,Q36,LOCATION,,0.0
Reich,Q960541,INSTITUTION,,0.0
Labor,Q216082,INSTITUTION,,0.0
Office,Q182060,INSTITUTION,,0.0
Fritz,Q901348,PERSON,,0.0
Fritz Sauckel,Q77093,PERSON,,0.0
Sauckel,Q77093,PERSON,,0.0
thousands,Q43016,MEASURE,,0.0
Nazis,Q7310,PERSON_TYPE,,0.0
Vernichtung durch Arbeit,Q321194,CONCEPT,,0.0
Arbeit,Q157199,CONCEPT,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
German,Q183,LOCATION,,0.0
German-occupied,Q700120,LOCATION,,0.0
German-occupied Poland,Q700120,LOCATION,,0.0
occupied,Q188686,LOCATION,,0.0
occupied Poland,Q700120,LOCATION,,0.0
Poland,Q36,LOCATION,,0.0
late,Q217050,PERIOD,,0.0
