Mention;Class
Conservative Party MPs;TITLE
Labour MPs;TITLE
Labour, Conservative, Liberal Democrat, UKIP, and Green;ORGANISATION
Cabinet ministers;TITLE
backbench MPs;TITLE
United Kingdom European Union membership referendum 2016;EVENT
The Cabinet of the United Kingdom;INSTITUTION
Prime Minister;TITLE
February;PERIOD
23;MEASURE
30;MEASURE
Cabinet ministers;TITLE
UK;LOCATION
EU;INSTITUTION
Iain Duncan Smith;PERSON
19 March;PERIOD
Stephen Crabb;PERSON
Crabb;PERSON
Secretary of State for Wales;TITLE
Alun Cairns;PERSON
25;MEASURE
United Kingdom European Union membership referendum;EVENT
UK;LOCATION
UK;LOCATION
EU;INSTITUTION
Shell, BT and Vodafone;BUSINESS
Britain;LOCATION
EU;INSTITUTION
British Bankers' Association;ORGANISATION
RBS;BUSINESS
HSBC;BUSINESS
JP Morgan and Deutsche Bank;BUSINESS
Brexit;EVENT
Goldman Sachs;BUSINESS
City of London;LOCATION
City of London;LOCATION
European;NATIONAL
February 2016;PERIOD
36;MEASURE
FTSE 100;CONCEPT
Shell, BAE Systems, BT and Rio Tinto;BUSINESS
EU;INSTITUTION
60%;MEASURE
Institute of Directorsand;ORGANISATION
EEF;ORGANISATION
UK;LOCATION
Sainsbury's;BUSINESS
Richard Branson;PERSON
UK;LOCATION
EU;INSTITUTION
Alan Sugar;PERSON
June 2016;PERIOD
James Dyson;PERSON
Dyson company;BUSINESS
British;NATIONAL
Britain;LOCATION
100 billion;MEASURE
EU;INSTITUTION
Treasury;INSTITUTION
EU;INSTITUTION
Dyson;PERSON
28;MEASURE
EU;INSTITUTION
Rolls-Royce;BUSINESS
UK;LOCATION
EU;INSTITUTION
UK;LOCATION
UK;LOCATION
EU;INSTITUTION
UK;LOCATION
half;MEASURE
UK;LOCATION
1%;MEASURE
UK;LOCATION
Two;MEASURE
Ford and BMW;BUSINESS
2013;PERIOD
Brexit;EVENT
2015;PERIOD
Reuters;MEDIA
UK;LOCATION
EU;INSTITUTION
CEO of Vauxhall;TITLE
Brexit;EVENT
Toyota CEO Akio Toyoda;PERSON
Britain;LOCATION
EU;INSTITUTION
Toyota;BUSINESS
Britain;LOCATION
UK;LOCATION
Boris Johnson;PERSON
UK;LOCATION
seven-year;MEASURE
HSBC;BUSINESS
Daragh Maher, head of HSBC;PERSON
Brexit;EVENT
European;NATIONAL
Brexit;EVENT
June 2016;PERIOD
Leave campaign;ORGANISATION
10;MEASURE
one per cent;MEASURE
UK;LOCATION
April;PERIOD
11.2%;MEASURE
1998;PERIOD
US;LOCATION
Eurozone;INSTITUTION
China;LOCATION
January and February 2016;PERIOD
FTSE 100;CONCEPT
1.5%;MEASURE
16 days;PERIOD
14 June;PERIOD
Brexit;EVENT
FTSE 100;CONCEPT
2%,;MEASURE
98 billion;MEASURE
Remain;ORGANISATION
FTSE;CONCEPT
2016;PERIOD
FTSE 100;CONCEPT
2016;PERIOD
1.5018;MEASURE
Remain campaign;ORGANISATION
Sunderland;LOCATION
1.3777;MEASURE
since 1985;PERIOD
following Monday;PERIOD
1.32;MEASURE
London Stock Exchange;BUSINESS
morning of 24 June;PERIOD
FTSE 100;CONCEPT
6338.10;MEASURE
5806.13;MEASURE
first ten minutes;PERIOD
6091.27;MEASURE
90 minutes;PERIOD
6162.97;MEASURE
end of the day;PERIOD
Following Monday;PERIOD
FTSE 100;CONCEPT
over 2%;MEASURE
mid-afternoon;PERIOD
Friday after the referendum;PERIOD
US Dow Jones Industrial Average;CONCEPT
450;MEASURE
2½%;MEASURE
half an hour;PERIOD
Associated Press;MEDIA
mid afternoon on 27 June 2016;PERIOD
31;MEASURE
11%;MEASURE
two;MEASURE
FTSE 100;CONCEPT
85 billion;MEASURE
29 June;PERIOD
European;NATIONAL
Czech prime minister Bohuslav Sobotka;PERSON
Czech Republic;LOCATION
EU;INSTITUTION
UK;LOCATION
EU;INSTITUTION
Former Czech President Václav Klaus;PERSON
Britain;LOCATION
EU;INSTITUTION
dissolution of Czechoslovakia;EVENT
Marine Le Pen;PERSON
French Front national;ORGANISATION
Brexit;EVENT
fall of the Berlin Wall;EVENT
Brexit;EVENT
European;NATIONAL
France;LOCATION
59%;MEASURE
French;PERSON_TYPE
Britain;LOCATION
EU;INSTITUTION
Polish President Andrzej Duda;PERSON
UK;LOCATION
EU;INSTITUTION
Moldovan Prime Minister Pavel Filip;PERSON
Moldova;LOCATION
UK;LOCATION
British;NATIONAL
UK;LOCATION
EU;INSTITUTION
Spanish foreign minister José García-Margallo;PERSON
Spain;LOCATION
Gibraltar;LOCATION
British;NATIONAL
EU;INSTITUTION
Margallo;PERSON
Gibraltar;LOCATION
Britain;LOCATION
EU;INSTITUTION
Dutch;NATIONAL
Geert Wilders;PERSON
Netherlands;LOCATION
Britain;NATIONAL
1940s;PERIOD
Britain;LOCATION
Europe;LOCATION
Brussels;LOCATION
11 June 2016;PERIOD
Swedish foreign minister Margot Wallstrom;PERSON
Britain;LOCATION
EU;INSTITUTION
EU;INSTITUTION
Britain;LOCATION
EU;INSTITUTION
European;NATIONAL
International Monetary Fund;INSTITUTION
February 2016;PERIOD
Christine Lagarde, the managing director of the International Monetary Fund;PERSON
British;NATIONAL
Leave;ORGANISATION
Priti Patel;PERSON
IMF;INSTITUTION
UK;LOCATION
IMF;INSTITUTION
United States;LOCATION
October 2015;PERIOD
United States Trade Representative Michael Froman;PERSON
United States;LOCATION
FTA;ACRONYM
Britain;LOCATION
EU;INSTITUTION
The Guardian;MEDIA
Britain;LOCATION
FTA;ACRONYM
October 2015;PERIOD
United States Ambassador to the United Kingdom Matthew Barzun;PERSON
UK;LOCATION
NATO;INSTITUTION
EU;INSTITUTION
British;PERSON_TYPE
US;LOCATION
April 2016;PERIOD
eight;MEASURE
former US Secretaries of the Treasury;TITLE
Democratic and Republican presidents;TITLE
Britain;LOCATION
EU;INSTITUTION
July 2015;PERIOD
President Barack Obama;PERSON
US;LOCATION
UK;LOCATION
EU;INSTITUTION
Obama;PERSON
UK;LOCATION
EU;INSTITUTION
after World War II;PERIOD
United Kingdom;LOCATION
Obama;PERSON
Republican Senator Ted Cruz;PERSON
British;NATIONAL
president;TITLE
Britain;LOCATION
America;LOCATION
Brexit;EVENT
Republican;PERSON_TYPE
Donald Trump;PERSON
Britain;LOCATION
Democratic;PERSON_TYPE
Hillary Clinton;PERSON
Britain;LOCATION
EU;INSTITUTION
October 2015;PERIOD
Chinese President Xi Jinping;PERSON
Britain;LOCATION
EU;INSTITUTION
China;LOCATION
Europe;LOCATION
EU;INSTITUTION
Britain;LOCATION
EU;INSTITUTION
China;LOCATION
EU;INSTITUTION
Chinese;NATIONAL
People's Republic;LOCATION
EU;INSTITUTION
American;NATIONAL
EU;INSTITUTION
Britain;LOCATION
United States;LOCATION
February 2016;PERIOD
finance ministers;TITLE
G20;ORGANISATION
EU;INSTITUTION
May 2016;PERIOD
Australian Prime Minister Malcolm Turnbull;PERSON
Australia;LOCATION
UK;LOCATION
EU;INSTITUTION
British;PERSON_TYPE
Britain and Australia;LOCATION
Indonesian president Joko Widodo;PERSON
European;NATIONAL
Brexit;EVENT
Sri Lankan Prime Minister Ranil Wickremesinghe;PERSON
Brexit;EVENT
Russian President Vladimir Putin;PERSON
UK;LOCATION
Maria Zakharova;PERSON
Russian foreign ministry;TITLE
Russia;LOCATION
Brexit;EVENT
November 2015;PERIOD
Governor of the Bank of England Mark Carney;PERSON
Bank of England;INSTITUTION
UK;LOCATION
British;PERSON_TYPE
EU;INSTITUTION
March 2016;PERIOD
Carney;PERSON
MPs;TITLE
EU;INSTITUTION
UK;LOCATION
European Monetary Union;INSTITUTION
UK;LOCATION
May 2016;PERIOD
Carney;PERSON
UK;LOCATION
EU;INSTITUTION
Iain Duncan Smith;PERSON
Carney;PERSON
December 2015;PERIOD
Bank of England;INSTITUTION
10 percent;MEASURE
2 percent;MEASURE
March 2016;PERIOD
Nobel prize;AWARD
Joseph Stiglitz;PERSON
UK;LOCATION
EU;INSTITUTION
Transatlantic Trade and Investment Partnership (TTIP);LEGAL
Stiglitz;PERSON
TTIP;LEGAL
asbestos;SUBSTANCE
tobacco;PLANT
German;NATIONAL
Clemens Fuest;PERSON
liberal;CONCEPTUAL
EU;INSTITUTION
UK, the Netherlands, the Czech Republic, Sweden, Denmark, Ireland, Slovakia, Finland, Estonia, Latvia, and  Lithuania;LOCATION
32%;MEASURE
European Council;INSTITUTION
dirigiste, protectionist;CONCEPTUAL
France;LOCATION
Germany;LOCATION
French;NATIONAL
dirigiste;CONCEPTUAL
British;NATIONAL
German;NATIONAL
liberal;CONCEPTUAL
Germany;LOCATION
Britain;LOCATION
dirigiste France;LOCATION
Britain;LOCATION
liberal;CONCEPTUAL
French;NATIONAL
EU;INSTITUTION
dirigiste;CONCEPTUAL
Berlin;LOCATION
Institute for Fiscal Studies;INSTITUTION
May 2016;PERIOD
Institute for Fiscal Studies;INSTITUTION
EU;INSTITUTION
two more years;PERIOD
20 billion to £40 billion;MEASURE
head of the IFS, Paul Johnson;PERSON
UK;LOCATION
EU;INSTITUTION
Centre for Economics and Business Research;INSTITUTION
June 2016;PERIOD
Centre for Economics and Business Research;INSTITUTION
800,000;MEASURE
Britain;LOCATION
World Trade Organisation (WTO);INSTITUTION
Europe;LOCATION
Brexiteers Boris Johnson, Michael Gove and Nigel Farage;PERSON
Britain;LOCATION
EU;INSTITUTION
WTO;INSTITUTION
10 per cent;MEASURE
75 per cent;MEASURE
tobacco;PLANT
22 per cent;MEASURE
12 per cent;MEASURE
Oxford Economics;BUSINESS
Law Society of England and Wales;ORGANISATION
Brexit;EVENT
UK;LOCATION
2030;PERIOD
Law Society;ORGANISATION
Brexit;EVENT
EU;INSTITUTION
UK;LOCATION
World Pensions Forum director M. Nicolas Firzi;PERSON
Brexit;EVENT
EU;INSTITUTION
English;NATIONAL
British Parliament;INSTITUTION
tens;MEASURE
EU;INSTITUTION
Brussels;LOCATION
transposition;CONCEPT
EU commissars;TITLE
English;NATIONAL
UK;LOCATION
late May 2016;PERIOD
57%;MEASURE
EU;INSTITUTION
NHS;INSTITUTION
Simon Stevens, head of NHS England;PERSON
May 2016;PERIOD
Brexit;EVENT
British;NATIONAL
NHS;INSTITUTION
Three-quarters;MEASURE
NHS;INSTITUTION
EU;INSTITUTION
NHS;INSTITUTION
eight out of 10;MEASURE
EU;INSTITUTION
April 2016;PERIOD
200;MEASURE
NHS;INSTITUTION
Britain;LOCATION
European Union;INSTITUTION
UK;LOCATION
Charity Commission for England and Wales;INSTITUTION
EU;INSTITUTION
Simon Wessely, head of psychological medicine at the Institute of Psychiatry, King's College London;PERSON
7 March 2016;PERIOD
Cameron;PERSON
remain campaign;ORGANISATION
June 2016;PERIOD
UK;LOCATION
92%;MEASURE
EU;INSTITUTION
EU's Common Fisheries Policy;LEGAL
three-quarters;MEASURE
93%;MEASURE
EU;INSTITUTION
May 2016;PERIOD
300;MEASURE
The Guardian;MEDIA
Britain;LOCATION
EU;INSTITUTION
Britain;LOCATION
Europe;LOCATION
Britain;LOCATION
Europe;LOCATION
David Cameron;PERSON
EU;INSTITUTION
British;NATIONAL
Institute of Economic Affairs (IEA);INSTITUTION
July 2013;PERIOD
UK;LOCATION
European Union;INSTITUTION
2015 general election;EVENT
Iain Mansfield;PERSON
Cambridge;INSTITUTION
UKTI;INSTITUTION
A Blueprint for Britain: Openness not Isolation;CREATION
Mansfield;PERSON
United Kingdom European Union membership referendum;EVENT
2010;PERIOD
British;PERSON_TYPE
EU;INSTITUTION
November 2012;PERIOD
56%;MEASURE
30%;MEASURE
June 2015;PERIOD
Britain;LOCATION
EU;INSTITUTION
43%;MEASURE
36%;MEASURE
20,000;MEASURE
March 2014;PERIOD
41%;MEASURE
41%;MEASURE
18%;MEASURE
Britain;LOCATION
EU;INSTITUTION
UK Government;INSTITUTION
British;NATIONAL
more than 50%;MEASURE
Britain;LOCATION
EU;INSTITUTION
February 2016;PERIOD
YouGov;BUSINESS
euroscepticism;CONCEPT
EU;INSTITUTION
euroscepticism;CONCEPT
Tory;CONCEPTUAL
Scotland, Wales;LOCATION
English urban areas;LOCATION
EU;INSTITUTION
EU;INSTITUTION
UK;LOCATION
EU;INSTITUTION
United Kingdom European Union membership referendum, 2016;EVENT
BBC;MEDIA
Leave campaign;ORGANISATION
EU;INSTITUTION
EU;INSTITUTION
millions;MEASURE
EU;INSTITUTION
UK;LOCATION
EU;INSTITUTION
EU;INSTITUTION
United Kingdom;LOCATION
EU;INSTITUTION
EU;INSTITUTION
United Kingdom;LOCATION
EU;INSTITUTION
four;MEASURE
EU;INSTITUTION
EU;INSTITUTION
UK;LOCATION
Office for Budget Responsibility;INSTITUTION
Leave campaign;ORGANISATION
British;NATIONAL
Office for National Statistics;INSTITUTION
2015;PERIOD
333,000;MEASURE
second;MEASURE
David Cameron;PERSON
tens of thousands;MEASURE
EU;INSTITUTION
184,000;MEASURE
77,000;MEASURE
EU;INSTITUTION
Britain;LOCATION
Rowena Mason;PERSON
The Guardian;MEDIA
UK;LOCATION
Britons;PERSON_TYPE
The Times;MEDIA
Philip Collins;PERSON
European Union;INSTITUTION
Conservative MEP (Member of the European Parliament);TITLE
South East England;LOCATION
Daniel Hannan;PERSON
BBC program Newsnight;CREATION
Brexit;EVENT
zero;MEASURE
EU;INSTITUTION
Leave campaign;ORGANISATION
Remain;ORGANISATION
EU;INSTITUTION
David Cameron;PERSON
UK;LOCATION
first four years;PERIOD
seven years;PERIOD
Brexit referendum;EVENT
UK;LOCATION
EU;INSTITUTION
UK;LOCATION
EU;INSTITUTION
EU;INSTITUTION
United Kingdom;LOCATION
Scotland's First Minister, Nicola Sturgeon;PERSON
second;MEASURE
Scots;PERSON_TYPE
UK;LOCATION
EU;INSTITUTION
Scotland;LOCATION
First Minister of Wales Carwyn Jones;PERSON
Wales;LOCATION
EU;INSTITUTION
UK;LOCATION
UK;LOCATION
England;LOCATION
Transatlantic Trade and Investment Partnership (TTIP);LEGAL
United States;LOCATION
EU;INSTITUTION
EU;INSTITUTION
Jeremy Corbyn;PERSON
Remain;ORGANISATION
TTIP;LEGAL
John Mills;PERSON
Leave;ORGANISATION
UK;LOCATION
TTIP;LEGAL
European Council;INSTITUTION
European Union;INSTITUTION
UK;LOCATION
NATO and the United Nations;INSTITUTION
EU;INSTITUTION
The Guardian;MEDIA
15 March 2016;PERIOD
UKIP;ORGANISATION
Nigel Farage;PERSON
Conservative MP Andrea Leadsom;PERSON
Labour 's ""yes"" campaign;EVENT
Alan Johnson;PERSON
Liberal Democrats;ORGANISATION
Nick Clegg;PERSON
11 January;PERIOD
Nigel Farage and Carwyn Jones;PERSON
First Minister of Wales;TITLE
Welsh Labour Party;ORGANISATION
Conservative Party;ORGANISATION
Leave and Remain;ORGANISATION
The Spectator;MEDIA
Andrew Neil;PERSON
26 April;PERIOD
Nick Clegg, Liz Kendall and Chuka Umunna;PERSON
Nigel Farage, Daniel Hannan and Kate Hoey;PERSON
Daily Express;MEDIA
3 June;PERIOD
Nigel Farage, Labour MP Kate Hoey and Conservative MP Jacob Rees-Mogg;PERSON
Labour MPs Siobhain McDonagh and Chuka Umunna;PERSON
Richard Reed;PERSON
Innocent drinks;BUSINESS
Essex TV;MEDIA
Is Essex IN or OUT;CREATION
20 June;PERIOD
Boris Johnson;PERSON
Essex;LOCATION
Andrew Neil;PERSON
four;MEASURE
Hilary Benn, George Osborne, Nigel Farage and Iain Duncan Smith;PERSON
6, 8, 10 and 17 May;PERIOD
ITV;MEDIA
9 June;PERIOD
Angela Eagle, Amber Rudd and Nicola Sturgeon, Boris Johnson, Andrea Leadsom, and Gisela Stuart;PERSON
EU Referendum: The Great Debate;CREATION
Wembley Arena;INSTALLATION
21 June;PERIOD
David Dimbleby, Mishal Husain and Emily Maitlis;PERSON
6,000;MEASURE
Sadiq Khan, Ruth Davidson and Frances O'Grady;PERSON
Remain;ORGANISATION
Leave;ORGANISATION
ITV debate on 9 June;EVENT
Johnson, Leadsom and Stuart;PERSON
Europe: The Final Debate;CREATION
Jeremy Paxman;PERSON
Channel 4;MEDIA
Gibraltar on the Iberian Peninsula;LOCATION
Leave;ORGANISATION
Remain;ORGANISATION
England;LOCATION
from 0700 BST until 2200 BST (0600 to 2100 BST in Gibraltar);PERIOD
41,000;MEASURE
382;MEASURE
2,500;MEASURE
four;MEASURE
United Kingdom;LOCATION
