Mention;Class
22 February 2016;PERIOD
Cameron;PERSON
23 June 2016;PERIOD
European Union;INSTITUTION
Article 50 of the Lisbon Treaty;LEGAL
Cameron;PERSON
Article 50;LEGAL
two-year;PERIOD
United Kingdom European Union membership referendum, 2016;EVENT
EU;INSTITUTION
Vote Leave;ORGANISATION
Leave;ORGANISATION
EU;INSTITUTION
Grassroots Out, and Better Off Out;ORGANISATION
EU;INSTITUTION
United Kingdom;LOCATION
Commonwealth Freedom of Movement Organisation;ORGANISATION
EU;INSTITUTION
Stuart Rose;PERSON
Britain Stronger in Europe;ORGANISATION
Remain;ORGANISATION
EU;INSTITUTION
Conservatives In, Labour in for Britain, #INtogether (Liberal Democrats), Greens for a Better Europe, Scientists for EU, Environmentalists For Europe, Universities for Europe and Another is Possible;ORGANISATION
United Kingdom European Union membership referendum, 2016;EVENT
morning of 24 June;PERIOD
52%;MEASURE
European Union;INSTITUTION
48%;MEASURE
European Union;INSTITUTION
United Kingdom European Union membership referendum, 2016;EVENT
Leave;ORGANISATION
Remain;ORGANISATION
UK;LOCATION
Cameron;PERSON
October;PERIOD
13 July;PERIOD
Theresa May;PERSON
Prime Minister;TITLE
George Osborne;PERSON
Chancellor of the Exchequer;TITLE
Philip Hammond;PERSON
Boris Johnson;PERSON
Secretary of State for Foreign and Commonwealth Affairs;TITLE
David Davis;PERSON
Secretary of State for Exiting the European Union;TITLE
Labour;ORGANISATION
Jeremy Corbyn;PERSON
4 July;PERIOD
Nigel Farage;PERSON
head of UKIP;TITLE
UK;LOCATION
Eurosceptic;CONCEPTUAL
UK;LOCATION
a week after the Brexit;PERIOD
EU;INSTITUTION
Europe;LOCATION
Dutch;NATIONAL
Geert Wilders;PERSON
Netherlands;LOCATION
Britain;LOCATION
Netherlands;LOCATION
European Union;INSTITUTION
British referendum;EVENT
Netherlands;LOCATION
European;NATIONAL
Eurosceptic movements;ORGANISATION
second;MEASURE
less than 60%;MEASURE
less than 75%;MEASURE
tens of thousands;MEASURE
EU;INSTITUTION
more than four million;MEASURE
Parliament;INSTITUTION
27 June 2016;PERIOD
David Cameron;PERSON
Britain;LOCATION
European Union;INSTITUTION
Home Secretary Theresa May;PERSON
Cameron;PERSON
Conservative;PERSON_TYPE
Prime Minister;TITLE
30 June;PERIOD
EU;INSTITUTION
Brexit;EVENT
Brexit;EVENT
9 July;PERIOD
EU;INSTITUTION
Commons Petitions Committee;ORGANISATION
5 September 2016;PERIOD
Article 50;LEGAL
EU;INSTITUTION
UK;LOCATION
Article 50;LEGAL
Article 50 of the Treaty on European Union;LEGAL
European Council;INSTITUTION
two year;PERIOD
Scottish independence referendum;EVENT
two years earlier;PERIOD
2016 referendum;EVENT
Article 50;LEGAL
Cameron;PERSON
Article 50;LEGAL
Civil Service;INSTITUTION
Foreign Affairs Select Committee;ORGANISATION
Cameron;PERSON
Conservative party conference in October;EVENT
Prime Minister;TITLE
Article 50;LEGAL
European Union;INSTITUTION
Prime Minister;TITLE
Prime Minister;TITLE
Article 50;LEGAL
EU;INSTITUTION
David Cameron;PERSON
EU referendum;EVENT
PM;TITLE
24 June 2016;PERIOD
uk;LOCATION
25 June 2016;PERIOD
second;MEASURE
Alan Renwick;PERSON
Constitution Unit of University College London;ORGANISATION
Article 50;LEGAL
Article 50;LEGAL
UK government;INSTITUTION
UK Government;INSTITUTION
Article 50;LEGAL
UK;LOCATION
EU;INSTITUTION
EU;INSTITUTION
EU;INSTITUTION
UK;LOCATION
Article 50;LEGAL
UK;LOCATION
EU;INSTITUTION
UK;LOCATION
EU;INSTITUTION
UK;LOCATION
EU;INSTITUTION
Article 7;LEGAL
EU;INSTITUTION
EU;INSTITUTION
Article 7;LEGAL
EU;INSTITUTION
UK;LOCATION
Article 50;LEGAL
Jean-Claude Juncker;PERSON
EU Commision;INSTITUTION
UK;LOCATION
Brexit;EVENT
29 June;PERIOD
European Council president Donald Tusk;PERSON
UK;LOCATION
European Single Market;INSTITUTION
four;MEASURE
German Chancellor Angela Merkel;PERSON
European Union;INSTITUTION
Cameron;PERSON
Prime Minister;TITLE
Article 50;LEGAL
EU;INSTITUTION
27 June 2016;PERIOD
senior Conservative Oliver Letwin;PERSON
Prime Minister;TITLE
UK;LOCATION
28 June 2016;PERIOD
EU Parliament;INSTITUTION
Article 50;LEGAL
EU;INSTITUTION
PM Theresa May;PERSON
EU;INSTITUTION
UK;LOCATION
Scotland;LOCATION
15 July 2016;PERIOD
May;PERSON
article 50;LEGAL
UK;LOCATION
article 50;LEGAL
Article 50;LEGAL
prime minister;TITLE
Article 50;LEGAL
Act of Parliament;LEGAL
Three;MEASURE
one;MEASURE
Article 50;LEGAL
Scottish Parliament;INSTITUTION
First Minister of Scotland Nicola Sturgeon;PERSON
Scotland;LOCATION
EU;INSTITUTION
Scotland;LOCATION
Brexit;EVENT
Two days;PERIOD
PM;TITLE
Theresa May;PERSON
Edinburgh;LOCATION
Sturgeon;PERSON
Scotland;LOCATION
UK;LOCATION
Bute House;INSTALLATION
May;PERSON
Scotland;LOCATION
UK;LOCATION
EU;INSTITUTION
first minister;TITLE
Scottish government;INSTITUTION
Article 50;LEGAL
19 July 2016;PERIOD
High Court;INSTITUTION
Article 50;LEGAL
prime minister;TITLE
end of 2016;PERIOD
Nicolas J. Firzli of the World Pensions Council (WPC);PERSON
Britain;LOCATION
Her Majesty's Government;INSTITUTION
Brussels;LOCATION
Article 50;LEGAL
UK;LOCATION
Prime Minister Theresa May;PERSON
EU;INSTITUTION
2016;PERIOD
European council;INSTITUTION
United Kingdom;LOCATION
article 50;LEGAL
May;PERSON
 20 July;PERIOD
Germany's Chancellor Angela Merkel;PERSON
UK;LOCATION
EU;INSTITUTION
European Union;INSTITUTION
UK;LOCATION
EU;INSTITUTION
EU;INSTITUTION
UK Parliament;INSTITUTION
EU;INSTITUTION
European Economic Area (EEA);INSTITUTION
European Free Trade Association (EFTA);INSTITUTION
Iceland, Liechtenstein, Norway and Switzerland;LOCATION
Swiss;NATIONAL
Britain;LOCATION
since before 1973;PERIOD
UK;LOCATION
EEA;INSTITUTION
EFTA;INSTITUTION
EU;INSTITUTION
EU;INSTITUTION
EU;INSTITUTION
EU;INSTITUTION
EU;INSTITUTION
EEA;INSTITUTION
EEA Agreement;LEGAL
EU and EFTA;INSTITUTION
Switzerland;LOCATION
Common Agriculture and Fisheries Policies, Customs Union, Common Trade Policy, Common Foreign and Security Policy, direct and indirect taxation, and Police and Judicial Co-operation in Criminal Matters;LEGAL
EFTA;INSTITUTION
EFTA;INSTITUTION
EU;INSTITUTION
EEA Agreement;LEGAL
Switzerland;LOCATION
Brexit;EVENT
EEA Agreement;LEGAL
EU and EEA;INSTITUTION
EEA;INSTITUTION
EU;INSTITUTION
EU;INSTITUTION
Swiss;NATIONAL
UK;LOCATION
EU;INSTITUTION
EU;INSTITUTION
Swiss;NATIONAL
EU;INSTITUTION
Swiss immigration referendum, February 2014;EVENT
February 2017;PERIOD
Switzerland;LOCATION
European Union;INSTITUTION
Switzerland;LOCATION
EU;INSTITUTION
July 2016;PERIOD
EU;INSTITUTION
Tim Oliver of the German Institute for International and Security Affairs;PERSON
British;NATIONAL
EU;INSTITUTION
UK;LOCATION
EU;INSTITUTION
European;NATIONAL
EU;INSTITUTION
protectionism;CONCEPT
EU;INSTITUTION
EU;INSTITUTION
EU;INSTITUTION
Conservative MEP;TITLE
South East England;LOCATION
Daniel Hannan;PERSON
BBC Newsnight;CREATION
European Union;INSTITUTION
Brexit;EVENT
EU;INSTITUTION
Leave campaign;ORGANISATION
EU;INSTITUTION
David Cameron;PERSON
UK;LOCATION
first four years;PERIOD
seven years;PERIOD
Brexit referendum;EVENT
UK;LOCATION
EU;INSTITUTION
July 2016;PERIOD
UK;LOCATION
EU;INSTITUTION
seven years;PERIOD
UK government;INSTITUTION
The Observer;MEDIA
UK;LOCATION
EU;INSTITUTION
EU;INSTITUTION
The Daily Telegraph;MEDIA
Conservative Party;ORGANISATION
Tory MPs;TITLE
European;NATIONAL
28;MEASURE
UK treasury;INSTITUTION
EU;INSTITUTION
UK;LOCATION
EU;INSTITUTION
International Monetary Fund (IMF);INSTITUTION
0.1%;MEASURE
UK;LOCATION
EU;INSTITUTION
EU;INSTITUTION
Britain;LOCATION
EU;INSTITUTION
European Free Trade Area;INSTITUTION
Institute for Fiscal Studies;INSTITUTION
Brexit;EVENT
UK;LOCATION
EU;INSTITUTION
15 June 2016;PERIOD
Vote Leave;ORGANISATION
Britain;LOCATION
EU;INSTITUTION
Parliament;INSTITUTION
Finance Bill;LEGAL
VAT;ACRONYM
Asylum and Immigration Control Bill;LEGAL
EU;INSTITUTION
Britain;LOCATION
National Health Service (Funding Target) Bill;LEGAL
100 million;MEASURE
European Union Law (Emergency Provisions) Bill;LEGAL
Free Trade Bill;LEGAL
EU;INSTITUTION
European Communities Act 1972 (Repeal) Bill;LEGAL
European Court of Justice;INSTITUTION
Britain;LOCATION
EU;INSTITUTION
24 June 2016;PERIOD
Moody's;BUSINESS
UK;LOCATION
Aa1;MEASURE
Fitch Ratings;BUSINESS
AA+;MEASURE
AA;MEASURE
GDP;ACRONYM
Standard & Poor's;BUSINESS
UK;LOCATION
AA;MEASURE
U.K.;LOCATION
UK;LOCATION
27 June 2016;PERIOD
Chancellor of the Exchequer George Osborne;PERSON
UK;LOCATION
Institute of Directors;ORGANISATION
two-thirds;MEASURE
FTSE 100;CONCEPT
24 June 2016;PERIOD
British;NATIONAL
Osborne;PERSON
Britain;LOCATION
British;NATIONAL
15 July 2016;PERIOD
Reuters;MEDIA
UK;LOCATION
40 billion;MEASURE
8.2 percent;MEASURE
three weeks;PERIOD
Britain;LOCATION
EU;INSTITUTION
EPFR (Emerging Portfolio Fund Research);BUSINESS
Société Générale;BUSINESS
France;LOCATION
Brexit;EVENT
UK;LOCATION
one month after Brexit;PERIOD
Guardian;MEDIA
2tn;MEASURE
22 July 2016;PERIOD
July;PERIOD
Markit Purchasing Managers' Index;CONCEPT
2009;PERIOD
one;MEASURE
29 July 2016;PERIOD
The Guardian;MEDIA
Brexit referendum;EVENT
The City of Berlin, Germany;LOCATION
UK;LOCATION
Berlin;LOCATION
IMF;INSTITUTION
19 July 2016;PERIOD
IMF;INSTITUTION
Brexit;EVENT
European Union;INSTITUTION
UK;LOCATION
International Monetary Fund;INSTITUTION
British;NATIONAL
1.7 per cent;MEASURE
this year;PERIOD
1.3 per cent;MEASURE
next year;PERIOD
UK;LOCATION
second;MEASURE
Group of Seven;ORGANISATION
this year;PERIOD
United States;LOCATION
third;MEASURE
next year;PERIOD
US and Canada;LOCATION
European;NATIONAL
World Pensions Council (WPC) and the University of Bath;INSTITUTION
Britain;LOCATION
UK;LOCATION
EU;INSTITUTION
Britain;LOCATION
London;LOCATION
M Nicolas Firzli, director-general of the World Pensions Council (WPC) and advisory board member for the World Bank Global Infrastructure Facility;PERSON
Bruce Morley;PERSON
University of Bath;INSTITUTION
UK;LOCATION
Union;INSTITUTION
Britain;LOCATION
4 August 2016;PERIOD
Britain;LOCATION
Bank of England;INSTITUTION
10 August;PERIOD
Institute for Fiscal Studies;INSTITUTION
Economic and Social Research Council;INSTITUTION
Britain;LOCATION
EU;INSTITUTION
EU;INSTITUTION
IFS;INSTITUTION
UK;LOCATION
70Bn;MEASURE
8Bn;MEASURE
Scotland, Northern Ireland, Gibraltar;LOCATION
Scottish;NATIONAL
UK;LOCATION
EU;INSTITUTION
Scotland;LOCATION
second;MEASURE
Scottish;NATIONAL
Former Labour Scottish First Minister Henry McLeish;PERSON
Scottish;NATIONAL
2013;PERIOD
Scotland;LOCATION
three and a half;MEASURE
UK;LOCATION
EU;INSTITUTION
Scotland in Union;ORGANISATION
Scotland;LOCATION
EU;INSTITUTION
Brexit;EVENT
UK;LOCATION
EU;INSTITUTION
'Brexit' referendum;EVENT
Britain;LOCATION
European Union;INSTITUTION
Northern Ireland and the Republic of Ireland;LOCATION
Enda Kenny, the Taoiseach of Ireland;PERSON
UK;LOCATION
European Union;INSTITUTION
Northern Ireland;LOCATION
Northern Ireland Secretary Theresa Villiers;PERSON
Germany's parliamentary finance committee;INSTITUTION
UK and Ireland;LOCATION
24 June 2016;PERIOD
UK;LOCATION
EU;INSTITUTION
Northern Ireland's Deputy First Minister Martin McGuinness;PERSON
Irish;NATIONAL
2015;PERIOD
Chief Minister of Gibraltar Fabian Picardo;PERSON
Gibraltar;LOCATION
EU;INSTITUTION
UK;LOCATION
British;NATIONAL
UK Foreign Affairs Select Committee;ORGANISATION
Gibraltar;LOCATION
Brexit;EVENT
Spain's foreign minister José García-Margallo;PERSON
Spain;LOCATION
Gibraltar;LOCATION
British;NATIONAL
EU;INSTITUTION
London;LOCATION
London;LOCATION
UK;LOCATION
EU;INSTITUTION
Scottish First Minister Nicola Sturgeon;PERSON
London Mayor Sadiq Khan;PERSON
EU;INSTITUTION
London;LOCATION
Khan;PERSON
London;LOCATION
UK;LOCATION
tens of thousands;MEASURE
London;LOCATION
London;LOCATION
Singapore;LOCATION
EU;INSTITUTION
Khan;PERSON
London;LOCATION
France;LOCATION
Mayor of Saint-Quentin, Xavier Bertrand;PERSON
February 2016;PERIOD
Britain;LOCATION
Europe;LOCATION
Calais;LOCATION
Dover;LOCATION
Britain;LOCATION
European Union;INSTITUTION
French Finance Minister Emmanuel Macron;PERSON
Le Touquet treaty;LEGAL
EU;INSTITUTION
Brexit;EVENT
Xavier Bertrand;PERSON
François Hollande;PERSON
Touquet agreement;LEGAL
two years;PERIOD
Hollande;PERSON
Touquet deal;LEGAL
Britain;LOCATION
Brexit;EVENT
Union;INSTITUTION
Bernard Cazeneuve, the French Interior Minister;PERSON
Calais;LOCATION
UK;LOCATION
EU;INSTITUTION
16%;MEASURE
EU;INSTITUTION
British;NATIONAL
St George's, University of London professor;TITLE
UKIP;ORGANISATION
Angus Dalgleish;PERSON
Britain;LOCATION
EU;INSTITUTION
European;NATIONAL
CERN;INSTITUTION
European Molecular Biology Laboratory (EMBL);INSTITUTION
Lisbon Treaty;LEGAL
EU;INSTITUTION
Britain;LOCATION
London School of Economics emeritus professor;TITLE
UKIP;ORGANISATION
Alan Sked;PERSON
EU;INSTITUTION
Israel and Switzerland;LOCATION
EU;INSTITUTION
Britain;LOCATION
EU;INSTITUTION
Britain;LOCATION
EU;INSTITUTION
2-year;PERIOD
Article 50 of Treaty of European Union (TEU);LEGAL
UK government;INSTITUTION
EU;INSTITUTION
Horizon 2020;UNKNOWN
UK;LOCATION
EU;INSTITUTION
UK;LOCATION
July 2016;PERIOD
The Guardian;MEDIA
European;NATIONAL
British;NATIONAL
