Mention;Class
9 September 1914;PERIOD
Septemberprogramm;UNKNOWN
Germany;LOCATION
Germany;LOCATION
Allied;INSTITUTION
German Chancellor, Theobald von Bethmann-Hollweg;PERSON
Serbian;NATIONAL
Serbian;NATIONAL
World War I;EVENT
Austria;LOCATION
Serbian army;INSTITUTION
Battle of Cer and Battle of Kolubara;EVENT
12 August;PERIOD
next two weeks;PERIOD
Austrian;NATIONAL
Allied;INSTITUTION
Austro - Hungarian;NATIONAL
Austria;LOCATION
Serbian;NATIONAL
Russia;LOCATION
Serbia;LOCATION
Austro - Hungarian invasion of 1914;EVENT
last century;PERIOD
German;NATIONAL
Belgium and France;LOCATION
Western Front;LOCATION
World War I;EVENT
World War I;EVENT
German army;INSTITUTION
seven;MEASURE
Schlieffen Plan;UNKNOWN
German;NATIONAL
Belgium;LOCATION
France;LOCATION
French army;INSTITUTION
German;NATIONAL
France;LOCATION
Germany and Russia;LOCATION
Germany;LOCATION
France;LOCATION
one;MEASURE
Russia;LOCATION
Schlieffen Plan;UNKNOWN
Germany;LOCATION
France;LOCATION
Franco - Prussian War of 1870 - 71;EVENT
Germany;LOCATION
Alsace - Lorraine;LOCATION
river Rhine;LOCATION
Paris;LOCATION
English Channel;LOCATION
British;NATIONAL
Paris;LOCATION
Russia;LOCATION
Russia;LOCATION
Central Powers;INSTITUTION
German;NATIONAL
German;NATIONAL
Belgium;LOCATION
Germany;LOCATION
Belgium;LOCATION
Netherlands;LOCATION
Kaiser Wilhelm II;TITLE
France;LOCATION
Belgium;LOCATION
Germans;PERSON_TYPE
Belgium;LOCATION
France;LOCATION
Belgium;LOCATION
Belgium;LOCATION
Belgian;NATIONAL
German;NATIONAL
Belgium;LOCATION
French;NATIONAL
Belgian army;INSTITUTION
Antwerp;LOCATION
German;NATIONAL
French;NATIONAL
Franco - German border;LOCATION
Belgian border;LOCATION
French;NATIONAL
Paris;LOCATION
Germans;PERSON_TYPE
Battle of the Frontiers (14 - 24 August) ;EVENT
12 September;PERIOD
French;PERSON_TYPE
British;NATIONAL
German;NATIONAL
Paris;LOCATION
First Battle of the Marne (5 - 12 September) ;EVENT
German;NATIONAL
50 km;MEASURE
last days;PERIOD
French;NATIONAL
Southern Alsace;LOCATION
20 August;PERIOD
Battle of Mulhouse;EVENT
Russians;PERSON_TYPE
two;MEASURE
German;NATIONAL
Russians;PERSON_TYPE
8th;INSTITUTION
France, to East Prussia;LOCATION
German Empire;LOCATION
Paul von Hindenburg;PERSON
Russia;LOCATION
First Battle of Tannenberg (17 August - 2 September) ;EVENT
Russian;NATIONAL
German;NATIONAL
Allied;INSTITUTION
First Battle of the Marne;EVENT
Central Powers;INSTITUTION
France;LOCATION
two;MEASURE
German;NATIONAL
France;LOCATION
230, 000;MEASURE
French;NATIONAL
British;NATIONAL
Germany;LOCATION
Asia and the Pacific;LOCATION
Asian;NATIONAL
Pacific;LOCATION
World War I;EVENT
New Zealand occupied German Samoa;LOCATION
Western Samoa;LOCATION
30 August 1914;PERIOD
11 September;EVENT
Australian Naval and Military Expeditionary Force;INSTITUTION
Neu Pommern;LOCATION
New Britain;LOCATION
German New Guinea;LOCATION
28 October;PERIOD
SMS Emden;ARTIFACT
Russian cruiser Zhemchug;ARTIFACT
Battle of Penang;EVENT
Japan;LOCATION
Germany;LOCATION
Micronesian;NATIONAL
Siege of Tsingtao;EVENT
port of Qingdao;LOCATION
Chinese Shandong peninsula;LOCATION
Vienna;LOCATION
Austro - Hungarian cruiser "" Kaiserin Elisabeth "";ARTIFACT
Tsingtao;LOCATION
Japan;LOCATION
Germany;LOCATION
Austria-Hungary;LOCATION
Tsingtao;LOCATION
November 1914;PERIOD
Allied;INSTITUTION
German;NATIONAL
Pacific;LOCATION
New Guinea;LOCATION
African;NATIONAL
African;NATIONAL
World War I;EVENT
British, French, and German;NATIONAL
Africa;LOCATION
7 August;PERIOD
French and British;NATIONAL
German protectorate of Togoland;LOCATION
10 August;PERIOD
German;NATIONAL
South - West Africa;LOCATION
South Africa;LOCATION
German;NATIONAL
German East Africa;LOCATION
Colonel Paul von Lettow - Vorbeck;PERSON
World War I;EVENT
two weeks after the armistice;PERIOD
Europe;LOCATION
Indian;NATIONAL
Allies;INSTITUTION
Third Anglo - Afghan War;EVENT
Hindu - German Conspiracy;UNKNOWN
British;NATIONAL
India;LOCATION
Britain;LOCATION
Indian;NATIONAL
Indian National Congress;INSTITUTION
British;NATIONAL
Indian Home Rule;ORGANISATION
Indian Army;INSTITUTION
British Army;INSTITUTION
1. 3 million;MEASURE
Indian;NATIONAL
Europe, Africa, and the Middle East;LOCATION
140, 000;MEASURE
Western Front;LOCATION
700, 000;MEASURE
Indian;NATIONAL
47, 746;MEASURE
65, 126;MEASURE
British government;INSTITUTION
India;LOCATION
Mohandas Karamchand Gandhi;PERSON
Western Front;LOCATION
Western Front;LOCATION
World War I;EVENT
Trench warfare;EVENT
1914 - 1915;PERIOD
World War I;EVENT
1870s;PERIOD
Commanders;TITLE
First Battle of the Marne (5 - 12 September 1914) ;EVENT
Entente;INSTITUTION
German;NATIONAL
Race to the Sea;EVENT
Britain and France;LOCATION
German;NATIONAL
Lorraine to Belgium's coast;LOCATION
Britain and France;LOCATION
Germany;LOCATION
occupied territories;LOCATION
German;NATIONAL
Anglo - French;NATIONAL
German;NATIONAL
22 April 1915;PERIOD
Second Battle of Ypres;EVENT
Germans;PERSON_TYPE
Hague Convention;LEGAL
first;MEASURE
Western Front;LOCATION
British;NATIONAL
Battle of Flers - Courcelette;EVENT
Somme offensive;EVENT
15 September 1916;PERIOD
Germans;PERSON_TYPE
Allied;INSTITUTION
1916 - 1917;PERIOD
next two years;PERIOD
1915 - 17;PERIOD
British Empire and France;LOCATION
Germany;LOCATION
Germans;PERSON_TYPE
Allies;INSTITUTION
German;NATIONAL
February 1916;PERIOD
Germans;PERSON_TYPE
French;NATIONAL
Verdun;LOCATION
until December 1916;PERIOD
German;NATIONAL
French;NATIONAL
French;PERSON_TYPE
Germans;PERSON_TYPE
700, 000 to 975, 000;MEASURE
Verdun;EVENT
French;NATIONAL
Battle of the Somme;EVENT
Anglo - French;NATIONAL
from July to November 1916;PERIOD
1 July 1916;PERIOD
British Army;INSTITUTION
57, 470;MEASURE
19, 240;MEASURE
Somme offensive;EVENT
British Army;INSTITUTION
420, 000;MEASURE
French;PERSON_TYPE
200, 000;MEASURE
Germans;PERSON_TYPE
Verdun;EVENT
1916;PERIOD
Somme;LOCATION
French army;INSTITUTION
British;NATIONAL
French poilu;PERSON_TYPE
French Army;INSTITUTION
Nivelle Offensive of April - May 1917;EVENT
British;NATIONAL
Battle of Arras;EVENT
Arras;LOCATION
Vimy Ridge;LOCATION
Canadian Corps;INSTITUTION
Canada;LOCATION
Canada;LOCATION
British;NATIONAL
French;NATIONAL
Passchendaele (July - November 1917) ;EVENT
Allies;INSTITUTION
October;PERIOD
200, 000 - 400, 000;MEASURE
years of trench warfare;EVENT
British, French, and German;NATIONAL
Naval warfare of World War I;EVENT
German Empire;LOCATION
Allied;INSTITUTION
British Royal Navy;INSTITUTION
Allied;INSTITUTION
German;NATIONAL
SMS Emden;ARTIFACT
East - Asia;LOCATION
Qingdao;LOCATION
15;MEASURE
Russian;NATIONAL
French;NATIONAL
German East - Asia;NATIONAL
Scharnhorst and Gneisenau;ARTIFACT
Nurnberg and Leipzig;ARTIFACT
two;MEASURE
Germany;LOCATION
British;NATIONAL
German;NATIONAL
Dresden;ARTIFACT
two;MEASURE
Battle of Coronel;EVENT
Battle of the Falkland Islands in December 1914;EVENT
Dresden;ARTIFACT
Battle of Mas a Tierra;EVENT
Britain;LOCATION
naval blockade of Germany;EVENT
past two centuries;PERIOD
Britain;LOCATION
Germany;LOCATION
The 1916 Battle of Jutland;EVENT
German;CONCEPT
Skagerrakschlacht;EVENT
Battle of the Skagerrak;EVENT
31 May - 1 June 1916;PERIOD
North Sea of Jutland;LOCATION
Kaiserliche Marine's High Seas Fleet;INSTITUTION
Vice Admiral Reinhard Scheer;PERSON
Royal Navy's Grand Fleet;INSTITUTION
Admiral Sir John Jellicoe;PERSON
Germans;PERSON_TYPE
British;NATIONAL
British;NATIONAL
British;PERSON_TYPE
German;NATIONAL
German;NATIONAL
U - boats;ARTIFACT
North America and Britain;LOCATION
United States;LOCATION
Germany;LOCATION
RMS Lusitania;ARTIFACT
1915;PERIOD
Germany;LOCATION
Britain;LOCATION
World War II;EVENT
Wikipedia;WEBSITE
World War II;EVENT
Wikipedia;WEBSITE
World War II (WWII or WW2) ;EVENT
Second World War;EVENT
1939;PERIOD
1945;PERIOD
two;MEASURE
Allies;INSTITUTION
Axis;INSTITUTION
100 million;MEASURE
30;MEASURE
total war;EVENT
Holocaust;EVENT
50 million;MEASURE
85 million;MEASURE
World War II;EVENT
Empire of Japan;LOCATION
East Asia;LOCATION
Republic of China;LOCATION
1937;PERIOD
1 September 1939;PERIOD
invasion of Poland;EVENT
Germany;LOCATION
Germany;LOCATION
France;LOCATION
United Kingdom;LOCATION
From late 1939 to early 1941;PERIOD
Germany;LOCATION
Axis alliance;INSTITUTION
Italy;LOCATION
Europe;LOCATION
Molotov - Ribbentrop Pact;LEGAL
Germany and the Soviet Union;LOCATION
European;NATIONAL
Poland and the Baltic states;LOCATION
United Kingdom;LOCATION
British Commonwealth;INSTITUTION
Allied;INSTITUTION
Axis;INSTITUTION
North Africa;LOCATION
Battle of the Atlantic;EVENT
June 1941;PERIOD
European Axis;INSTITUTION
invasion of the Soviet Union;EVENT
Axis;INSTITUTION
December 1941;PERIOD
Japan;LOCATION
Axis;INSTITUTION
United States and European territories;LOCATION
Pacific Ocean;LOCATION
Western Pacific;LOCATION
Axis;INSTITUTION
1942;PERIOD
Japan;LOCATION
battle at Midway;EVENT
Hawaii;LOCATION
Germany;LOCATION
North Africa;LOCATION
Stalingrad in Russia;LOCATION
1943;PERIOD
German;NATIONAL
Eastern Europe;LOCATION
Allied invasion of Italy;EVENT
American;NATIONAL
Pacific;LOCATION
Axis;INSTITUTION
1944;PERIOD
Western Allies;INSTITUTION
France;LOCATION
Soviet Union;UNKNOWN
Germany;LOCATION
1944 and 1945;PERIOD
United States;LOCATION
Japanese Navy;INSTITUTION
Western Pacific islands;LOCATION
Europe;LOCATION
Germany;LOCATION
Western Allies;INSTITUTION
Soviet Union;LOCATION
capture of Berlin;EVENT
Soviet and Polish;NATIONAL
German;NATIONAL
8 May 1945;PERIOD
Potsdam Declaration;EVENT
Allies;INSTITUTION
26 July 1945;PERIOD
United States;LOCATION
Japanese;NATIONAL
Hiroshima and Nagasaki;LOCATION
6 August and 9 August;PERIOD
Japanese archipelago;LOCATION
Soviet Union;LOCATION
Japan;LOCATION
Manchuria;LOCATION
Japan;LOCATION
15 August 1945;PERIOD
Asia;LOCATION
Allies;INSTITUTION
Axis;INSTITUTION
World War II;EVENT
United Nations (UN) ;ORGANISATION
United States, the Soviet Union, China, the United Kingdom, and France;LOCATION
United Nations Security Council;ORGANISATION
Soviet Union;LOCATION
United States;LOCATION
Cold War;EVENT
next 46 years;PERIOD
European;NATIONAL
Asia and Africa;LOCATION
Europe;LOCATION
Cold War;EVENT
1 September 1939;PERIOD
German invasion of Poland;EVENT
Britain and France;LOCATION
Germany;LOCATION
two days later;PERIOD
Second Sino - Japanese War on 7 July 1937;EVENT
British;NATIONAL
A. J. P. Taylor;PERSON
Sino - Japanese War;EVENT
Europe;LOCATION
two;MEASURE
World War II;EVENT
Italian invasion of Abyssinia on 3 October 1935;EVENT
British;NATIONAL
Antony Beevor;PERSON
Second World War;EVENT
Battles of Khalkhin Gol;EVENT
Japan and the Soviet Union;LOCATION
from May to September 1939;PERIOD
the armistice of 14 August 1945 (V - J Day) ;EVENT
surrender of Japan (2 September 1945) ;EVENT
European;NATIONAL
V - E Day (8 May 1945) ;PERIOD
Treaty of Peace;LEGAL
Japan;LOCATION
1951;PERIOD
Germany;LOCATION
1990;PERIOD
World War II;EVENT
World War I;EVENT
Central Powers;INSTITUTION
Austria-Hungary, Germany and the Ottoman Empire;LOCATION
1917 Bolshevik seizure of power in Russia;EVENT
Allies;INSTITUTION
France, Belgium, Italy, Greece and Romania;LOCATION
Austria-Hungary and the Russian and Ottoman Empires;LOCATION
nationalism;CONCEPT
European;NATIONAL
Irredentism and revanchism;CONCEPT
Germany;LOCATION
Treaty of Versailles;LEGAL
Germany;LOCATION
13 percent;MEASURE
German;NATIONAL
Russian Civil War;EVENT
Soviet Union;LOCATION
German Empire;LOCATION
German Revolution of 1918 - 1919;EVENT
Weimar Republic;LOCATION
interwar period;PERIOD
Italy;LOCATION
Italian;NATIONAL
nationalists;CONCEPTUAL
Britain and France;LOCATION
Italian;NATIONAL
From 1922 to 1925;PERIOD
Fascist movement;ORGANISATION
Benito Mussolini;PERSON
Italy;LOCATION
nationalist, totalitarian, and class collaborationist;CONCEPTUAL
socialist, left - wing and liberal;PERSON_TYPE
Italy;LOCATION
New Roman Empire;CONCEPT
Germany;LOCATION
Nazi Party;INSTITUTION
Adolf Hitler;PERSON
Nazi;CONCEPT
Germany;LOCATION
Great Depression;EVENT
Nazis;PERSON_TYPE
1933;PERIOD
Hitler;PERSON
Chancellor of Germany;TITLE
Reichstag fire;EVENT
Hitler;PERSON
Nazis;PERSON_TYPE
Kuomintang (KMT) ;ORGANISATION
China;LOCATION
unification campaign;EVENT
China;LOCATION
1920s;PERIOD
Chinese communist allies;PERSON_TYPE
1931;PERIOD
Japanese Empire;LOCATION
China;LOCATION
first;MEASURE
Asia;LOCATION
Mukden Incident;EVENT
invasion of Manchuria;EVENT
Manchukuo;LOCATION
Japan;LOCATION
China;LOCATION
League of Nations;INSTITUTION
Japan;LOCATION
League of Nations;INSTITUTION
Manchuria;LOCATION
two;MEASURE
Shanghai, Rehe and Hebei;LOCATION
Tanggu Truce;LEGAL
1933;PERIOD
Chinese;NATIONAL
Japanese;NATIONAL
Manchuria;LOCATION
Chahar and Suiyuan;LOCATION
Adolf Hitler;PERSON
German government;INSTITUTION
1923;PERIOD
Chancellor of Germany;TITLE
1933;PERIOD
second;MEASURE
Great War;EVENT
France;LOCATION
Italy;LOCATION
Ethiopia;LOCATION
Italy;LOCATION
1935;PERIOD
Territory of the Saar Basin;LOCATION
Germany;LOCATION
Hitler;PERSON
Treaty of Versailles;LEGAL
Germany;LOCATION
United Kingdom, France and Italy;LOCATION
Stresa Front;INSTITUTION
Soviet Union;LOCATION
Germany;LOCATION
eastern Europe;LOCATION
France;LOCATION
Franco - Soviet pact;LEGAL
League of Nations;INSTITUTION
June 1935;PERIOD
United Kingdom;LOCATION
independent naval agreement;LEGAL
Germany;LOCATION
United States;LOCATION
Europe;LOCATION
Asia;LOCATION
Neutrality Act;LEGAL
August;PERIOD
October;PERIOD
Italy;LOCATION
Ethiopia;LOCATION
Germany;LOCATION
European;NATIONAL
Italy;LOCATION
Germany;LOCATION
Austria;LOCATION
Hitler;PERSON
Versailles and Locarno treaties;LEGAL
Rhineland;LOCATION
March 1936;PERIOD
European;NATIONAL
Spanish Civil War;EVENT
July;PERIOD
Hitler and Mussolini;PERSON
fascist and authoritarian Nationalist;CONCEPTUAL
Soviet;NATIONAL
Spanish Republic;LOCATION
Nationalists;PERSON_TYPE
1939;PERIOD
October 1936;PERIOD
Germany and Italy;LOCATION
Rome - Berlin Axis;INSTITUTION
Germany and Japan;LOCATION
Anti - Comintern Pact;LEGAL
Italy;LOCATION
China;LOCATION
Xi' an Incident;EVENT
Kuomintang;ORGANISATION
communist;PERSON_TYPE
Italian invasion of Ethiopia (1935);EVENT
Second Italo - Abyssinian War;EVENT
Second Italo - Abyssinian War;EVENT
began in October 1935 and ended in May 1936;PERIOD
Kingdom of Italy (Regno d'Italia) ;LOCATION
Ethiopian Empire;LOCATION
Abyssinia;LOCATION
Ethiopia;LOCATION
Italian East Africa (Africa Orientale Italiana, or AOI) ;LOCATION
League of Nations;ORGANISATION
Italy and Ethiopia;LOCATION
the League;ORGANISATION
League's own Article;LEGAL
Spanish Civil War (1936-39);EVENT
Spanish Civil War;EVENT
Spanish Civil War;EVENT
Hitler and Mussolini;PERSON
Nationalist rebels;PERSON_TYPE
General Francisco Franco;PERSON
Soviet Union;LOCATION
Spanish Republic;LOCATION
30, 000;MEASURE
International Brigades;ORGANISATION
Nationalists;PERSON_TYPE
Germany and the USSR;LOCATION
bombing of Guernica;EVENT
German Condor Legion;INSTITUTION
April 1937;PERIOD
Nationalists;PERSON_TYPE
April 1939;PERIOD
Franco;PERSON
Second World War;EVENT
German;NATIONAL
Spain;LOCATION
Japanese invasion of China (1937);EVENT
Second Sino - Japanese War;EVENT
July 1937;PERIOD
Japan;LOCATION
Chinese;NATIONAL
Beijing;LOCATION
Marco Polo Bridge Incident;EVENT
Japanese;NATIONAL
China;LOCATION
Soviets;PERSON_TYPE
non - aggression pact;LEGAL
China;LOCATION
China;LOCATION
Germany;LOCATION
Generalissimo Chiang Kai - shek;PERSON
Shanghai;LOCATION
after three months;PERIOD
Shanghai;LOCATION
Japanese;NATIONAL
Chinese;NATIONAL
Nanking;LOCATION
December 1937;PERIOD
Nanking Massacre;EVENT
June 1938;PERIOD
Chinese;NATIONAL
Japanese;NATIONAL
Yellow River;LOCATION
Chinese;PERSON_TYPE
Wuhan;LOCATION
October;PERIOD
Japanese;NATIONAL
Chinese;NATIONAL
Japan;LOCATION
Chinese government;INSTITUTION
Chongqing;LOCATION
Japanese invasion of the Soviet Union and Mongolia (1938) ;NATIONAL
29 July 1938;PERIOD
Japanese;PERSON_TYPE
USSR;LOCATION
Battle of Lake Khasan;EVENT
Soviet;NATIONAL
Japanese;PERSON_TYPE
11 May 1939;PERIOD
Japanese-Mongolian border;LOCATION
Khalkhin Gol River;LOCATION
Japanese;NATIONAL
Mongolia;LOCATION
Red Army;ORGANISATION
first;MEASURE
Japanese Kwantung Army;INSTITUTION
Japanese government;INSTITUTION
Soviet government;INSTITUTION
China;LOCATION
US;LOCATION
European;NATIONAL
Pacific;LOCATION
Soviet;NATIONAL
Georgy Zhukov;PERSON
defence of Moscow;EVENT
European;NATIONAL
Anschluss;EVENT
Munich Agreement;LEGAL
German occupation of Czechoslovakia;EVENT
Molotov - Ribbentrop Pact;LEGAL
Europe;LOCATION
Germany and Italy;LOCATION
March 1938;PERIOD
Germany;LOCATION
Austria;LOCATION
European;NATIONAL
Hitler;PERSON
German;NATIONAL
Sudetenland;LOCATION
Czechoslovakia;LOCATION
German;NATIONAL
France and Britain;LOCATION
Germany;LOCATION
Munich Agreement;LEGAL
Czechoslovak government;INSTITUTION
Germany and Italy;LOCATION
Czechoslovakia;LOCATION
Hungary and Poland;LOCATION
Germany;LOCATION
Hitler;PERSON
British;NATIONAL
Czechoslovakia;LOCATION
one;MEASURE
Hitler;PERSON
British and Jewish;PERSON_TYPE
January 1939;PERIOD
German navy;INSTITUTION
British;NATIONAL
March 1939;PERIOD
Germany;LOCATION
Czechoslovakia;LOCATION
German Protectorate of  Bohemia and Moravia;LOCATION
German;NATIONAL
Slovak Republic;LOCATION
Hitler;PERSON
Danzig;LOCATION
France and Britain;LOCATION
Polish independence;EVENT
Italy;LOCATION
Albania;LOCATION
April 1939;PERIOD
Romania and Greece;LOCATION
Franco - British;NATIONAL
Poland;LOCATION
Germany and Italy;LOCATION
Pact of Steel;LEGAL
Hitler;PERSON
Britain and Poland;LOCATION
Germany;LOCATION
Anglo - German Naval Agreement and the German - Polish Non - Aggression Pact;LEGAL
Poland;LOCATION
non - aggression pact;LEGAL
German;NATIONAL
Danzig;LOCATION
Germany;LOCATION
Poles;PERSON_TYPE
Danzig;LOCATION
Poland;LOCATION
August 1939;PERIOD
Germany and the Soviet Union;LOCATION
Molotov - Ribbentrop Pact, a non - aggression treaty;LEGAL
western Poland and Lithuania;LOCATION
Germany;LOCATION
eastern Poland, Finland, Estonia, Latvia and Bessarabia;LOCATION
USSR;LOCATION
Polish independence;EVENT
Hitler;PERSON
Germany;LOCATION
two;MEASURE
World War I;EVENT
Poland;LOCATION
August;PERIOD
German;NATIONAL
Polish;NATIONAL
Italian foreign minister, Count  Ciano;PERSON
Hitler;PERSON
Poland;LOCATION
German;NATIONAL
Britain or France;LOCATION
23 August;PERIOD
Hitler;PERSON
26 August;PERIOD
Britain;LOCATION
Poland;LOCATION
Italy;LOCATION
British;NATIONAL
Germany;LOCATION
29 August;PERIOD
Polish;NATIONAL
Berlin;LOCATION
Danzig;LOCATION
Polish Corridor;LOCATION
