Mention;Class
Jewish;PERSON_TYPE
Dresden;LOCATION
Jewish;PERSON_TYPE
President Paul von Hindenburg;PERSON
Hitler;PERSON
Jewish;PERSON_TYPE
First World War;EVENT
1937;PERIOD
Hindenburg;PERSON
Jews;PERSON_TYPE
Law to Prevent Overcrowding in Schools;LEGAL
Journalists' Association;ORGANISATION
July 1933;PERIOD
Law for the Prevention of Hereditarily Diseased Offspring;LEGAL
over 200;MEASURE
Hereditary Health Courts (Erbgesundheitsgerichte);INSTITUTION
over 400,000;MEASURE
Nazi period;EVENT
Nuremberg Laws of 1935;LEGAL
1935;PERIOD
Hitler;PERSON
Nuremberg Laws;LEGAL
Aryans;PERSON_TYPE
Jews;PERSON_TYPE
Gypsies, Negroes;PERSON_TYPE
Law for the Protection of German Blood and German Honor;LEGAL
German Jews;PERSON_TYPE
Nazis;PERSON_TYPE
Rassenschande;CONCEPT
Hitler;PERSON
Blood Law;LEGAL
final solution of the National Socialist Party;UNKNOWN
Hitler;PERSON
Jewish;PERSON_TYPE
National-Socialist Party;ORGANISATION
final solution;UNKNOWN
final solution"" (Endlösung);UNKNOWN
Nazi;PERSON_TYPE
Jews;PERSON_TYPE
January 1939;PERIOD
Jewry;PERSON_TYPE
Europe;LOCATION
Bolshevization of the earth;CONCEPT
Jewry;PERSON_TYPE
Jewish;PERSON_TYPE
Europe;LOCATION
1940;PERIOD
Nazi;PERSON_TYPE
The Eternal Jew (Der ewige Jude);CREATION
Jews;PERSON_TYPE
Europe;LOCATION
Intellectuals;PERSON_TYPE
Walter Benjamin;PERSON
Paris;LOCATION
18 March 1933;PERIOD
Lion Feuchtwanger;PERSON
Switzerland;LOCATION
Bruno Walter;PERSON
Berlin Philharmonic;INSTALLATION
Frankfurter Zeitung;MEDIA
6 April;PERIOD
Walter;PERSON
Otto Klemperer;PERSON
German;PERSON_TYPE
Jewish;PERSON_TYPE
Albert Einstein;PERSON
US;LOCATION
30 January 1933;PERIOD
Ostende in Belgium;LOCATION
Germany;LOCATION
Kaiser Wilhelm Society;ORGANISATION
Prussian Academy of Sciences;ORGANISATION
Germany;LOCATION
Austria;LOCATION
1938;PERIOD
Sigmund Freud;PERSON
Vienna;LOCATION
England;LOCATION
Saul Friedländer;PERSON
Max Liebermann, honorary president of the Prussian Academy of Arts;PERSON
two years later;PERIOD
1943;PERIOD
85;MEASURE
Kristallnacht (1938);EVENT
Kristallnacht;EVENT
Siegen;LOCATION
10 November 1938;PERIOD
7 November 1938;PERIOD
Jewish;PERSON_TYPE
Herschel Grünspan;PERSON
Nazi German;PERSON_TYPE
Ernst vom Rath;PERSON
Paris;LOCATION
Nazis;PERSON_TYPE
Jewish Germans;PERSON_TYPE
Nazis;PERSON_TYPE
Nazi Party;INSTITUTION
SA;INSTITUTION
Nazi Germany;LOCATION
Germany;LOCATION
Austria, and Sudetenland;LOCATION
Kristallnacht (""Crystal Night"" or ""Night of Broken Glass"");EVENT
Jews;PERSON_TYPE
Jewish;PERSON_TYPE
Over 7,000;MEASURE
Jewish;PERSON_TYPE
more than 1,200;MEASURE
two-thirds;MEASURE
German;NATIONAL
91;MEASURE
30,000;MEASURE
Dachau, Sachsenhausen, Buchenwald, and Oranienburg;LOCATION
several weeks;PERIOD
Nazis;PERSON_TYPE
German Jewry;PERSON_TYPE
several hundred thousand;MEASURE
more than a billion;MEASURE
Jewish;PERSON_TYPE
Germany;LOCATION
Jewish;PERSON_TYPE
Germany;LOCATION
Romani and Slavs;PERSON_TYPE
930;MEASURE
Jewish;PERSON_TYPE
MS St. Louis;ARTIFACT
Cuba, the United States and Canada;LOCATION
Europe;LOCATION
Nazis;PERSON_TYPE
German;PERSON_TYPE
European;PERSON_TYPE
Jewry;PERSON_TYPE
Europe;LOCATION
Hitler;PERSON
1938–39 Schacht Plan;UNKNOWN
thousands;MEASURE
Jews;PERSON_TYPE
Schacht Plan;UNKNOWN
Nazi;PERSON_TYPE
Europe's Jews;PERSON_TYPE
Siberia;LOCATION
Palestine;LOCATION
Nazi;PERSON_TYPE
1933;PERIOD
Zionist Federation of Germany (die Zionistische Vereinigung für Deutschland);ORGANISATION
Nazi government;INSTITUTION
Haavara Agreement;LEGAL
60,000;MEASURE
German Jews;PERSON_TYPE
100 million;MEASURE
Germany;LOCATION
Palestine;LOCATION
World War II;EVENT
Hitler;PERSON
German;NATIONAL
Tanganyika and South West Africa;LOCATION
Jewish;PERSON_TYPE
Germans;PERSON_TYPE
Germans;PERSON_TYPE
United Kingdom and France;LOCATION
Jews;PERSON_TYPE
British Palestine;LOCATION
Italian Abyssinia, British Rhodesia, French Madagascar, and Australia;LOCATION
Madagascar;LOCATION
Heydrich;PERSON
Madagascar Plan;UNKNOWN
final solution;UNKNOWN
Hitler;PERSON
1938;PERIOD
Adolf Eichmann;PERSON
Jews;PERSON_TYPE
1941;PERIOD
Madagascar Plan;UNKNOWN
10 February 1942;PERIOD
German Foreign Office;INSTITUTION
Soviet Union;LOCATION
Jews;PERSON_TYPE
Nazi;PERSON_TYPE
Germans;PERSON_TYPE
Lebensraum;CONCEPT
Nazi;CONCEPTUAL
Nazis;PERSON_TYPE
Poland;LOCATION
Russia;LOCATION
Operation Barbarossa;EVENT
Russian and Slavic;PERSON_TYPE
Hitler;PERSON
Jewish Bolshevism;CONCEPT
German-occupied Poland;LOCATION
Holocaust in Poland;EVENT
Invasion of Poland, Occupation of Poland (1939–45);EVENT
Jews;PERSON_TYPE
Poland;LOCATION
Nazi Germany;LOCATION
1941;PERIOD
Poland;LOCATION
General Government area;LOCATION
Germany's invasion of Poland in September 1939;EVENT
Jewish Question;CONCEPT
Poland;LOCATION
three million;MEASURE
Jews;PERSON_TYPE
nine percent;MEASURE
Polish;PERSON_TYPE
two-thirds;MEASURE
Nazi;PERSON_TYPE
Poland;LOCATION
September 1939;PERIOD
Himmler;PERSON
Reinhard Heydrich;PERSON
chief of the Reich Main Security Office (Reichssicherheitshauptamt or RSHA);TITLE
seven;MEASURE
Security Service (SD) and Gestapo;INSTITUTION
SS;INSTITUTION
occupied Poland;LOCATION
Jews;PERSON_TYPE
Heydrich;PERSON
Jews;PERSON_TYPE
German;NATIONAL
Operation Tannenberg;EVENT
Selbstschutz;ORGANISATION
Heydrich;PERSON
Reichsprotektor of Bohemia and Moravia;TITLE
Polish Jews;PERSON_TYPE
German;NATIONAL
Heydrich;PERSON
1961;PERIOD
Adolf Eichmann;PERSON
Jews;PERSON_TYPE
Hans Frank, Nazi governor;PERSON
occupied Poland;LOCATION
Jews;PERSON_TYPE
General Government area of central Poland;LOCATION
Reich Labor Office;INSTITUTION
Fritz Sauckel;PERSON
many thousands;MEASURE
Nazis;PERSON_TYPE
Vernichtung durch Arbeit;CONCEPT
Jewish;PERSON_TYPE
German-occupied Poland;LOCATION
late 1941;PERIOD
SS;INSTITUTION
Jews;PERSON_TYPE
German;NATIONAL
Nazi;PERSON_TYPE
Hermann Göring;PERSON
German;NATIONAL
German army's Economics Department;INSTITUTION
Jewish;PERSON_TYPE
General Government area;LOCATION
more than a million;MEASURE
Germany;LOCATION
Soviet Union;LOCATION
Jewish;PERSON_TYPE
Zolochiv, west Ukraine (Nazi occupied USSR);LOCATION
Soviets;PERSON_TYPE
Gestapo;INSTITUTION
Zolochiv;LOCATION
Germany;LOCATION
Norway, the Netherlands, Luxembourg, Belgium, and France;LOCATION
1940;PERIOD
Yugoslavia and Greece;LOCATION
1941;PERIOD
antisemitic;CONCEPTUAL
Jews;PERSON_TYPE
1942;PERIOD
Vichy regime in occupied France;INSTITUTION
French Jews;PERSON_TYPE
Germany;LOCATION
Italy, Hungary, Romania, Bulgaria and Finland;LOCATION
antisemitic;CONCEPTUAL
900;MEASURE
Jews;PERSON_TYPE
300;MEASURE
Roma;PERSON_TYPE
Banjica concentration camp;INSTALLATION
Belgrade;LOCATION
Serbian communists, royalists;PERSON_TYPE
German;NATIONAL
Croatia;LOCATION
Jews;PERSON_TYPE
Legal Decree on the Nationalization of the Property of Jews and Jewish Companies;LEGAL
10 October 1941;PERIOD
Independent State of Croatia;LOCATION
North Africa;LOCATION
Holocaust in Italian Libya;EVENT
Jews;PERSON_TYPE
Holocaust;EVENT
Ashkenazi;PERSON_TYPE
Sephardi and Mizrahi Jews;PERSON_TYPE
1938;PERIOD
Fascist;CONCEPTUAL
Italian;NATIONAL
anti-Semitic laws;LEGAL
Jews;PERSON_TYPE
Jewish;PERSON_TYPE
Jews;PERSON_TYPE
Libya;LOCATION
25%;MEASURE
Tripoli;LOCATION
Jewish;PERSON_TYPE
over 44;MEASURE
1942;PERIOD
Nazis;PERSON_TYPE
Benghazi's Jewish Quarter;LOCATION
more than 2,000;MEASURE
Jews;PERSON_TYPE
Nazi;PERSON_TYPE
WWII;EVENT
one-fifth;MEASURE
Jews;PERSON_TYPE
Libya;LOCATION
Giado camp;INSTALLATION
2,600;MEASURE
562;MEASURE
Gharyan, Jeren, and Tigrinna;LOCATION
Tunisia;LOCATION
North African;NATIONAL
Nazi;PERSON_TYPE
100,000;MEASURE
Jews;PERSON_TYPE
Nazis;PERSON_TYPE
November 1942;PERIOD
six months;PERIOD
Nazis;PERSON_TYPE
anti-Semitic;CONCEPTUAL
Tunisia;LOCATION
Jews;PERSON_TYPE
Yellow Star;UNKNOWN
5,000;MEASURE
Tunisian Jews;PERSON_TYPE
European;NATIONAL
More than 2,500;MEASURE
Tunisian Jews;PERSON_TYPE
German;NATIONAL
General Government;LOCATION
Lublin reservation;INSTALLATION
Nisko plan;UNKNOWN
Nisko Plan;UNKNOWN
General Government;LOCATION
28 September 1939;PERIOD
Germany;LOCATION
Lublin area;LOCATION
German-Soviet agreement;LEGAL
Lithuania;LOCATION
Nisko Plan;UNKNOWN
Lublin-Lipowa Reservation;INSTALLATION
Adolf Eichmann;PERSON
Jews;PERSON_TYPE
Germany, Austria, and the Protectorate of Bohemia and Moravia;LOCATION
Lublin;LOCATION
18 October 1939;PERIOD
Jews;PERSON_TYPE
Austria and the Protectorate of Bohemia and Moravia;LOCATION
30 January 1940;PERIOD
78,000;MEASURE
Jews;PERSON_TYPE
Lublin;LOCATION
Germany, Austria, and Czechoslovakia;LOCATION
12 and 13 February 1940;MEASURE
Pomeranian Jews;PERSON_TYPE
Lublin reservation;INSTALLATION
Pomeranian Gauleiter Franz Schwede-Coburg;PERSON
first;MEASURE
judenrein;LOCATION
Jews;PERSON_TYPE
24 March 1940;PERIOD
Göring;PERSON
Nisko Plan;UNKNOWN
the end of April;PERIOD
Nisko Plan;UNKNOWN
Jews;PERSON_TYPE
Nisko;LOCATION
95,000;MEASURE
July 1940;PERIOD
General Government;LOCATION
Hitler;PERSON
October 1940;PERIOD
Gauleiters Josef Bürckel and Robert Heinrich Wagner;PERSON
Operation Bürckel;EVENT
Jews;PERSON_TYPE
unoccupied France;LOCATION
Alsace-Lorraine;LOCATION
Reich;INSTITUTION
Jews;PERSON_TYPE
6,500;MEASURE
Jews;PERSON_TYPE
Operation Bürckel;EVENT
two hours;PERIOD
the night of 22–23 October 1940;PERIOD
nine;MEASURE
Jews;PERSON_TYPE
France;LOCATION
French;NATIONAL
German;NATIONAL
German Foreign Minister Joachim von Ribbentrop;PERSON
Vichy government;INSTITUTION
Jews;PERSON_TYPE
Operation Bürckel;EVENT
Vichy;LOCATION
Gurs, Rivesaltes and Les Milles;LOCATION
Germany;LOCATION
1940 and 1941;PERIOD
Jews;PERSON_TYPE
German-occupied Poland;LOCATION
Jews;PERSON_TYPE
General Government;LOCATION
Jews;PERSON_TYPE
Germany;LOCATION
Berlin;LOCATION
1943;PERIOD
Berlin Jews;PERSON_TYPE
December 1939;PERIOD
3.5 million;MEASURE
Jews;PERSON_TYPE
General Government area;LOCATION
1933–1945;PERIOD
Nazi;PERSON_TYPE
Nazi;PERSON_TYPE
12 April 1945;PERIOD
Lager Nordhausen;INSTALLATION
20,000;MEASURE
Third Reich;INSTITUTION
50%;MEASURE
After 1939;PERIOD
Jews and POWs;PERSON_TYPE
1942;PERIOD
six;MEASURE
Poland;LOCATION
Germans;PERSON_TYPE
15,000;MEASURE
eastern Europe;LOCATION
Jewish, Polish intelligentsia, communist, or Roma and Sinti;PERSON_TYPE
Germany;LOCATION
V-2 rockets;ARTIFACT
Mittelbau-Dora;INSTALLATION
Mauthausen-Gusen concentration camp;INSTALLATION
12- to 14-hour;PERIOD
1939–1945;PERIOD
occupied Europe;LOCATION
1939-1944;PERIOD
Nazi;PERSON_TYPE
Białystok, Budapest, Kovno, Łódź, Lvov, Riga, Vilna, Warsaw;LOCATION
Warsaw Ghetto;LOCATION
Poland;LOCATION
Nazis;PERSON_TYPE
General Government;LOCATION
Jews;PERSON_TYPE
Jews;PERSON_TYPE
Germany;LOCATION
Judenrat (Jewish council);INSTITUTION
first;MEASURE
29 September 1939;PERIOD
Heydrich;PERSON
Einsatzgruppen;INSTITUTION
Germans;PERSON_TYPE
Nazi;PERSON_TYPE
Judenrat;INSTITUTION
Joseph Parnas;PERSON
Lviv;LOCATION
14 October 1942;PERIOD
Byaroza;LOCATION
Adam Czerniaków;PERSON
Warsaw;LOCATION
23 July 1942;PERIOD
Chaim Rumkowski;PERSON
Łódź;LOCATION
Jews;PERSON_TYPE
Germany;LOCATION
Nazis;PERSON_TYPE
Jewish council;INSTITUTION
Jews;PERSON_TYPE
Jewish council;INSTITUTION
Warsaw ghetto;LOCATION
Jewish Combat Organisation;ORGANISATION
council;INSTITUTION
Germans;PERSON_TYPE
Warsaw Ghetto;LOCATION
Warsaw Ghetto;LOCATION
380,000;MEASURE
Łódź Ghetto;LOCATION
second;MEASURE
160,000;MEASURE
Warsaw Ghetto;LOCATION
30%;MEASURE
Warsaw;LOCATION
2.4%;MEASURE
9.2;MEASURE
Between 1940 and 1942;PERIOD
hundreds of thousands;MEASURE
Over 43,000;MEASURE
Warsaw ghetto;LOCATION
one in ten;MEASURE
1941;PERIOD
Theresienstadt;INSTALLATION
more than half;MEASURE
1942;PERIOD
Germans;PERSON_TYPE
police;INSTITUTION
Juden;PERSON_TYPE
Abraham Malik;PERSON
Kovno Ghetto;LOCATION
Himmler;PERSON
19 July 1942;PERIOD
three days later, on 22 July;PERIOD
Warsaw Ghetto;LOCATION
next 52 days, until 12 September;MEASURE
300,000;MEASURE
Warsaw;LOCATION
Treblinka extermination camp;INSTALLATION
Treblinka;INSTALLATION
first;MEASURE
September 1942;PERIOD
Łachwa in southeast Poland;LOCATION
1943;PERIOD
Warsaw Ghetto Uprising and the Białystok Ghetto Uprising;EVENT
Nazi;PERSON_TYPE
Jews;PERSON_TYPE
1939–1942;PERIOD
Dorohoi Pogrom, Iaşi pogrom, Jedwabne Massacre, Legionnaires' Rebellion and Bucharest Pogrom;EVENT
Lviv;LOCATION
Lviv pogroms and the Holocaust, and Odessa massacre;EVENT
Jewish;PERSON_TYPE
Lviv, Ukraine;LOCATION
July 1941;PERIOD
Second World War;EVENT
Nazis;PERSON_TYPE
Iaşi pogrom in Romania on 30 June 1941;EVENT
14,000;MEASURE
Jews;PERSON_TYPE
Romanian;NATIONAL
police;INSTITUTION
Lviv pogroms;EVENT
occupied Poland;LOCATION
nationalists from the Ukrainian People's Militia;PERSON_TYPE
Lwów;LOCATION
Ukraine;LOCATION
some 6,000;MEASURE
Polish Jews;PERSON_TYPE
between 30 June and 29 July 1941;PERIOD
3,000;MEASURE
Einsatzgruppe C.;INSTITUTION
Ukrainian militia;ORGANISATION
Polish;NATIONAL
Łuck and Tarnopol;LOCATION
Jedwabne pogrom of July 1941;EVENT
Nazi Ordnungspolizei;INSTITUTION
300;MEASURE
Jews;PERSON_TYPE
Poles;PERSON_TYPE
German;PERSON_TYPE
40;MEASURE
Jewish;PERSON_TYPE
1941–1943;PERIOD
The Holocaust in Ukraine, The Holocaust in Lithuania, The Holocaust in Latvia, The Holocaust in Estonia, The Holocaust in Belarus, The Holocaust in Russia;EVENT
Einsatzgruppen;INSTITUTION
Soviet Union;LOCATION
Wehrmacht;INSTITUTION
Axis Powers;INSTITUTION
World War II;EVENT
Babi Yar, Rumbula massacre, Kamianets-Podilskyi Massacre, and Ponary massacre;EVENT
Germany's invasion of the Soviet Union in June 1941;EVENT
Holocaust;EVENT
invasion of the Soviet Union;EVENT
German;NATIONAL
anti-Bolshevik, anti-Semitic and anti-Slavic;CONCEPTUAL
Wehrmacht officers;TITLE
Jewish Bolshevik;PERSON_TYPE
Mongol;PERSON_TYPE
Asiatic;PERSON_TYPE
Nazi;PERSON_TYPE
Soviet Union;LOCATION
German National Socialism and Jewish Bolshevism;CONCEPT
Germans and the Bolsheviks, Jews, Romani and Slavic Untermenschen;PERSON_TYPE
Hitler;PERSON
30 March 1941;PERIOD
Soviet Union;LOCATION
Nazis;PERSON_TYPE
Lithuania;LOCATION
80%;MEASURE
220,000;MEASURE
Jews;PERSON_TYPE
Soviet territories;LOCATION
early 1942;PERIOD
Belarus, Estonia, Latvia, Lithuania, Ukraine, and Moldova and most Russian territory west of the line Leningrad–Moscow–Rostov;LOCATION
three million;MEASURE
Jews;PERSON_TYPE
Jews;PERSON_TYPE
German army mobile killing units (Einsatzgruppen);INSTITUTION
Ivanhorod;LOCATION
Ukraine;LOCATION
Eastern Front;LOCATION
Germany;LOCATION
Polish resistance;ORGANISATION
February 1943;PERIOD
Eastern Europe;LOCATION
Bolshevism;CONCEPT
occupied Soviet territories;LOCATION
Jews;PERSON_TYPE
Germans;PERSON_TYPE
Jews;PERSON_TYPE
Waffen-SS;INSTITUTION
Lithuania, Latvia, and western Ukraine;LOCATION
Jews;PERSON_TYPE
German occupation;EVENT
Latvian Arajs Kommando;ORGANISATION
Latvian and Lithuanian;NATIONAL
Jews;PERSON_TYPE
Belarus;LOCATION
south;LOCATION
Ukrainians;PERSON_TYPE
24,000;MEASURE
Jews;PERSON_TYPE
Poland;LOCATION
Ustaše militia in Croatia;INSTITUTION
Jews;PERSON_TYPE
German;NATIONAL
Jews;PERSON_TYPE
occupied Soviet territories;LOCATION
SS;INSTITUTION
Einsatzgruppen;INSTITUTION
Heydrich;PERSON
Poland;LOCATION
1939;PERIOD
Soviet territories;LOCATION
Einsatzgruppe A;INSTITUTION
Baltic area;LOCATION
Einsatzgruppe B;INSTITUTION
Belarus;LOCATION
Einsatzgruppe C;INSTITUTION
north and central Ukraine;LOCATION
Einsatzgruppe D;INSTITUTION
Moldova, south Ukraine, Crimea;LOCATION
1942;PERIOD
north Caucasus;LOCATION
Einsatzgruppen;INSTITUTION
Otto Ohlendorf;PERSON
Einsatzgruppen;INSTITUTION
Jews, Gypsies;PERSON_TYPE
Communist;PERSON_TYPE
Communists;PERSON_TYPE
Jewish;PERSON_TYPE
Einsatzgruppe;INSTITUTION
December 1941;PERIOD
four;MEASURE
Einsatzgruppen;INSTITUTION
125,000, 45,000, 75,000, and 55,000;MEASURE
300,000;MEASURE
United States Holocaust Memorial Museum;INSTALLATION
one;MEASURE
Einsatzgruppen;INSTITUTION
Piryatin, Ukraine;LOCATION
Germans;PERSON_TYPE
1,600;MEASURE
Jews;PERSON_TYPE
6 April 1942, the second day of Passover;PERIOD
5:00 pm;PERIOD
Ruderman;PERSON
five;MEASURE
Jews;PERSON_TYPE
Soviet Union;LOCATION
Babi Yar;LOCATION
Kiev;LOCATION
33,771;MEASURE
Jews;PERSON_TYPE
29–3 September 1941;PERIOD
Jews;PERSON_TYPE
Kiev;LOCATION
Major-General Friedrich Eberhardt, the Police Commander for Army Group South SS-Obergruppenführer Friedrich Jeckeln, and the Einsatzgruppe C Commander Otto Rasch;PERSON
SS, SD, and Security Police;INSTITUTION
Ukrainian police;INSTITUTION
6th Army;INSTITUTION
Jews of Kiev;PERSON_TYPE
Babi Yar;LOCATION
29 September;PERIOD
Kiev's Jews;PERSON_TYPE
ten;MEASURE
150 meters;MEASURE
30 meters;MEASURE
15 meters;MEASURE
Schutzpolizei;INSTITUTION
Jews;PERSON_TYPE
Jew;PERSON_TYPE
Jews;PERSON_TYPE
Jew;PERSON_TYPE
Heinrich Himmler, Reinhard Heydrich, and Karl Wolff;PERSON
Obersalzberg;LOCATION
May 1939;PERIOD
Wolff;PERSON
Himmler;PERSON
100;MEASURE
Jews;PERSON_TYPE
August 1941;PERIOD
Himmler;PERSON
Minsk;LOCATION
100;MEASURE
Jews;PERSON_TYPE
Karl Wolff;PERSON
Himmler;PERSON
Himmler;PERSON
SS;INSTITUTION
Party;ORGANISATION
Germany;LOCATION
Einsatzgruppen;INSTITUTION
anti-Bolshevik, anti-partisan or anti-bandit;CONCEPTUAL
German;NATIONAL
Andreas Hillgruber;PERSON
German Army;INSTITUTION
Holocaust in Russia;EVENT
1989;PERIOD
Hillgruber;PERSON
2.2 million;MEASURE
racist;CONCEPTUAL
German generals;TITLE
Einsatzgruppen;INSTITUTION
anti-partisan;CONCEPTUAL
Army;INSTITUTION
SS;INSTITUTION
anti-Bolshevik, anti-partisan and anti-Jewish;CONCEPTUAL
mid-1941;PERIOD
SS Cavalry Brigade;INSTITUTION
Hermann Fegelein;PERSON
699;MEASURE
Red Army;INSTITUTION
1,100;MEASURE
partisans;PERSON_TYPE
14,178;MEASURE
Jews;PERSON_TYPE
anti-partisan;CONCEPTUAL
Pripyat Marshes;LOCATION
Fegelein;PERSON
Jews;PERSON_TYPE
General Max von Schenckendorff;PERSON
Army Group Center;INSTITUTION
Wehrmacht;INSTITUTION
Fegelein;PERSON
anti-partisan;CONCEPTUAL
SS-Wehrmacht;INSTITUTION
Jews;PERSON_TYPE
7th Company of Police Battalion 322;ORGANISATION
32;MEASURE
Jews;PERSON_TYPE
officers;TITLE
Knjashizy;PERSON
partisans;PERSON_TYPE
Battalion 322;ORGANISATION
partisans;PERSON_TYPE
German police;INSTITUTION
Mizocz Ghetto;LOCATION
14 October 1942;PERIOD
Mogilev;LOCATION
Wehrmacht officer;TITLE
partisan;PERSON_TYPE
Jew;PERSON_TYPE
Jew;PERSON_TYPE
partisan;PERSON_TYPE
Head of the OKW, Field-Marshal Wilhelm Keitel;PERSON
12 September 1941;PERIOD
Bolshevism;CONCEPT
Jews;PERSON_TYPE
Bolshevism;CONCEPT
24;MEASURE
24 November 1941;PERIOD
commander of the 707th;TITLE
Jews and Gypsies;PERSON_TYPE
Jews;PERSON_TYPE
Gypsies;PERSON_TYPE
Jewish;PERSON_TYPE
White Ruthenia;LOCATION
Jews;PERSON_TYPE
SD;INSTITUTION
Jürgen Förster;PERSON
Wehrmacht;INSTITUTION
Wehrmacht;INSTITUTION
Holocaust;EVENT
Shoah;EVENT
SS;INSTITUTION
Wehrmacht;INSTITUTION
2,749;MEASURE
Jews;PERSON_TYPE
beach near the city of Liepāja, in Latvia;LOCATION
15–17 December 1941;PERIOD
December 1939;PERIOD
Nazis;PERSON_TYPE
Pomerania, East Prussia, and occupied Poland;LOCATION
Action T4;UNKNOWN
Sachsenhausen concentration camp;INSTALLATION
100;MEASURE
from November 1941;PERIOD
Chełmno extermination camp;INSTALLATION
December 1941;PERIOD
15;MEASURE
Einsatzgruppen;INSTITUTION
occupied Soviet Union;LOCATION
SS-Reichssicherheitshauptamt (Reich Main Security Office);INSTITUTION
500,000;MEASURE
Jews;PERSON_TYPE
Romani;PERSON_TYPE
a month;PERIOD
ninety seven thousand;MEASURE
three;MEASURE
Hans Frank, governor of the General Government;PERSON
Christian Wirth;PERSON
Wannsee Conference;EVENT
Final Solution (1942–1945);UNKNOWN
Operation Reinhard, Wannsee Conference;EVENT
Final Solution;CONCEPT
Wannsee villa;LOCATION
Wannsee conference;EVENT
15;MEASURE
20 January 1942;PERIOD
final solution of the Jewish question;CONCEPT
Reich;INSTITUTION
Wannsee Conference;EVENT
Jews;PERSON_TYPE
European;NATIONAL
Auschwitz I;INSTALLATION
Auschwitz II (Birkenau);INSTALLATION
museum at Auschwitz II;INSTALLATION
Crematorium II;INSTALLATION
Auschwitz II (Birkenau);INSTALLATION
Holocaust;EVENT
Robert Jan van Pelt;PERSON
Earth;LOCATION
500,000;MEASURE
Nazis;PERSON_TYPE
Holocaust;EVENT
thousands;MEASURE
Höfle Telegram;UNKNOWN
Adolf Eichmann;PERSON
January 1943;PERIOD
1,274,166;MEASURE
Jews;PERSON_TYPE
four;MEASURE
Aktion Reinhard camps;INSTALLATION
1942;PERIOD
Reinhard Heydrich;PERSON
Wannsee Conference on 20 January 1942 in Berlin's Wannsee suburb;EVENT
15;MEASURE
Nazi;PERSON_TYPE
state secretaries;TITLE
SS officers;TITLE
Jewish;PERSON_TYPE
Jewish question in Europe;CONCEPT
Heydrich;PERSON
European Jewish question;CONCEPT
Hitler;PERSON
Jewish;PERSON_TYPE
Wannsee Conference;EVENT
1942;PERIOD
Eichmann;PERSON
Heydrich;PERSON
Heydrich;PERSON
Jews;PERSON_TYPE
east;LOCATION
11 million;MEASURE
Jews;PERSON_TYPE
Germany;LOCATION
UK and the US;LOCATION
Heydrich;PERSON
Final Solution;CONCEPT
Jews;PERSON_TYPE
2.3 million;MEASURE
Jews;PERSON_TYPE
General Government;LOCATION
850,000;MEASURE
Hungary;LOCATION
1.1 million;MEASURE
five million;MEASURE
USSR;LOCATION
two million;MEASURE
Soviet;NATIONAL
6.5 million;MEASURE
Poland;LOCATION
Auschwitz;INSTALLATION
Göring's representative, Erich Neumann;PERSON
German;PERSON_TYPE
1983;PERIOD
Popular Opinion and Political Dissent in the Third Reich;CREATION
Ian Kershaw;PERSON
Alltagsgeschichte;CONCEPT
Bavaria;LOCATION
Nazi period;EVENT
Bavarians;PERSON_TYPE
Kershaw;PERSON
Jews;PERSON_TYPE
Kershaw;PERSON
Bavarians;PERSON_TYPE
